,ParcelId,OwnerName,Address,City,State,Zip
0,216-00-00-005-000,CURRENT RESIDENT,2100FT W OF INT S-20-323 & S-20-324,Fairfield,SC,
1,215-00-00-074-000,CURRENT RESIDENT,293 EMERALD DR TRACT,Fairfield,SC,
2,215-00-00-102-000,CURRENT RESIDENT,285 EMERALD DR,Fairfield,SC,
3,026-04-02-005-000,CURRENT RESIDENT,SW OF GIBSON END RD RD,Fairfield,SC,
4,026-04-02-007-000,CURRENT RESIDENT,557 GIBSON END ROAD,Fairfield,SC,
5,026-04-02-009-000,CURRENT RESIDENT,GIBSON END RD RD,Fairfield,SC,
6,216-00-00-019-000,CURRENT RESIDENT,LOT 3 MARY S BECKHAM EST,Fairfield,SC,
7,216-00-00-016-000,CURRENT RESIDENT,2717 BROOM MILL ROAD,Fairfield,SC,
8,200-00-00-065-000,CURRENT RESIDENT,SYRUP MILL RD,Fairfield,SC,
9,125-02-01-014-000,CURRENT RESIDENT,MORNINGSIDE DRIVE,WS-Jackson,SC,
10,009-00-01-004-000,CURRENT RESIDENT,257 SCHOOL RD,Fairfield,SC,
11,009-00-01-006-000,CURRENT RESIDENT,228 SCHOOL RD,Fairfield,SC,
12,009-00-01-011-000,CURRENT RESIDENT,1944 BLACKSTOCK RD,Fairfield,SC,
13,060-04-02-008-000,CURRENT RESIDENT,304 GUNSITE RD,Fairfield,SC,
14,089-04-01-010-000,CURRENT RESIDENT,2815 SMALLSTOWN RD RD,Fairfield,SC,
15,089-04-01-012-000,CURRENT RESIDENT,LOT 1 SMALLS CHAPEL ROAD,Fairfield,SC,
16,095-03-01-011-000,CURRENT RESIDENT,898 WATEREE ESTATES RD,Fairfield,SC,
17,118-04-03-017-000,CURRENT RESIDENT,102 SUMAC DRIVE,Fairfield,SC,
18,118-04-03-026-000,CURRENT RESIDENT,474 COLE TRESTLE ROAD,Fairfield,SC,
19,125-04-01-001-000,CURRENT RESIDENT,1502 KINCAID BRIDGE RD,Fairfield,SC,
20,125-04-01-004-000,CURRENT RESIDENT,INT S-20-61 & S-20-657 E 1630FT N,Fairfield,SC,
21,126-02-09-034-000,CURRENT RESIDENT,610 HUDSON ST ST,Fairfield,SC,
22,135-04-00-075-000,CURRENT RESIDENT,ROLLING HILLS ROAD,Fairfield,SC,
23,145-01-15-005-000,CURRENT RESIDENT,540 COLUMBIA RD,WS-Winnsboro,SC,
24,145-03-01-023-000,CURRENT RESIDENT,1936 US HWY 321 S RECYCLE CEN TER,Fairfield,SC,
25,168-03-04-002-000,CURRENT RESIDENT,180 N COLEMAN HWY,Ridgeway,SC,
26,182-00-02-018-000,CURRENT RESIDENT,US HWY 321 SOUTH,Fairfield,SC,
27,186-01-07-003-000,CURRENT RESIDENT,81 CEDAR GROVE RD LOT 8,Fairfield,SC,
28,196-00-01-022-000,CURRENT RESIDENT,1229 LANDIS ROAD,Fairfield,SC,
29,198-00-01-026-000,CURRENT RESIDENT,GREENBRIER MOSSYDALE RD,Fairfield,SC,
30,198-00-05-001-000,CURRENT RESIDENT,CORNER OF ST LUKE RD & MOSSYDALE RD,Fairfield,SC,
31,198-00-05-004-000,CURRENT RESIDENT,104 ST LUKE CHURCH RD RD,Fairfield,SC,
32,198-00-05-007-000,CURRENT RESIDENT,174 ST LUKES CHURCH RD,Fairfield,SC,
33,124-00-02-033-000,CURRENT RESIDENT,INT S-20-61 & S-20-657 W 8310FT N,WS-Jackson,SC,
34,124-00-02-032-000,CURRENT RESIDENT,KINCAID BRIDGE RD,WS-Jackson,SC,
35,124-00-02-014-000,CURRENT RESIDENT,3672 KINCAID BRIDGE RD,WS-Jackson,SC,
36,146-00-00-008-000,CURRENT RESIDENT,BUCHANAN TRACT,Fairfield,SC,
37,147-00-00-004-000,CURRENT RESIDENT,BARBER RD WRAY TRACT,Fairfield,SC,
38,165-00-02-028-000,CURRENT RESIDENT,ST HWY 34,Fairfield,SC,
39,215-00-00-088-000,CURRENT RESIDENT,9373 US HWY 321 SOUTH,Fairfield,SC,
40,165-00-02-073-000,CURRENT RESIDENT,BARBER ROAD,Fairfield,SC,
41,166-00-00-018-000,CURRENT RESIDENT,1700FT N INT 77 & SRR 2800FT W 7,Fairfield,SC,
42,166-00-00-015-000,CURRENT RESIDENT,BARBER ROAD,Fairfield,SC,
43,166-00-00-014-000,CURRENT RESIDENT,1477 BARBER ROAD,Fairfield,SC,
44,166-00-00-017-000,CURRENT RESIDENT,2800FT N INT 77 & SRR 5800FT W 7,Fairfield,SC,
45,166-00-00-012-000,CURRENT RESIDENT,BARBER ROAD,Fairfield,SC,
46,166-00-00-011-000,CURRENT RESIDENT,2092 BARBER RD,Fairfield,SC,
47,166-00-00-006-000,CURRENT RESIDENT,2439 BARBER ROAD,Fairfield,SC,
48,166-00-00-009-000,CURRENT RESIDENT,2452 BARBER ROAD,Fairfield,SC,
49,166-00-00-008-000,CURRENT RESIDENT,6000FT N INT 77 & SRR 5100FT NW,Fairfield,SC,
50,147-00-00-007-000,CURRENT RESIDENT,6000FT N INT 77 & SRR 5700FT NW,Fairfield,SC,
51,147-00-00-006-000,CURRENT RESIDENT,6000FT N 77 & SRR 5700FT NW OF 77 5,Fairfield,SC,
52,166-00-00-004-000,CURRENT RESIDENT,6000FT N 77 & SRR 5700FT NW OF 77 5,Fairfield,SC,
53,147-00-00-008-000,CURRENT RESIDENT,OFF BARBER RD,Fairfield,SC,
54,166-00-00-005-000,CURRENT RESIDENT,6000FT N 77 & SRR 5700FT NW OF 77 4,Fairfield,SC,
55,166-00-00-007-000,CURRENT RESIDENT,BARBER RD,Fairfield,SC,
56,166-00-00-031-000,CURRENT RESIDENT,96 GRACE LANE TRACT 1,Fairfield,SC,
57,166-00-00-001-000,CURRENT RESIDENT,2037 BARBER RD -TRACT 4,Fairfield,SC,
58,166-00-00-049-000,CURRENT RESIDENT,2125 BARBER RD,Fairfield,SC,
59,165-00-02-066-000,CURRENT RESIDENT,179 BARBER ROAD,Fairfield,SC,
60,183-02-03-044-000,CURRENT RESIDENT,679 SYRUP MILL RD,Fairfield,SC,
61,166-00-00-029-000,CURRENT RESIDENT,1000FT W INT S-20-227 & HWY 34 220,Fairfield,SC,
62,166-00-00-037-000,CURRENT RESIDENT,SC-34 E,Fairfield,SC,
63,184-00-00-004-000,CURRENT RESIDENT,101 & 102 BEVERAGE BL SC-34,Fairfield,SC,
64,166-00-00-028-000,CURRENT RESIDENT,HWY 34,Fairfield,SC,
65,166-00-00-034-000,CURRENT RESIDENT,TRACT 2,Fairfield,SC,
66,001-00-00-001-000,CURRENT RESIDENT,BROAD RIVER AT CHESTER CNTY LINE,Fairfield,SC,
67,001-00-00-002-000,CURRENT RESIDENT,1 1/2MI INT S-20-99/H-215NW 1 MI ON D,Fairfield,SC,
68,001-00-00-003-000,CURRENT RESIDENT,ALONG BROAD RIVER S CHEST TER,Fairfield,SC,
69,002-00-00-006-000,CURRENT RESIDENT,863 FAULKNER ROAD,Fairfield,SC,
70,002-00-00-005-000,CURRENT RESIDENT,1071 FAULKNER RD RD,Fairfield,SC,
71,002-00-00-002-000,CURRENT RESIDENT,1032 FAULKNER ROAD,Fairfield,SC,
72,002-00-00-003-000,CURRENT RESIDENT,984 FAULKNER ROAD,Fairfield,SC,
73,002-00-00-007-000,CURRENT RESIDENT,744 FAULKNER ROAD,Fairfield,SC,
74,002-00-00-001-000,CURRENT RESIDENT,FAULKNER RD RD,Fairfield,SC,
75,002-00-00-053-000,CURRENT RESIDENT,RD 99,Fairfield,SC,
76,002-00-00-004-000,CURRENT RESIDENT,1105 FAULKNER RD RD,Fairfield,SC,
77,002-00-00-054-000,CURRENT RESIDENT,TRACT 3 PAULINE W STEVENSON EST,Fairfield,SC,
78,012-00-00-001-000,CURRENT RESIDENT,TRACT 4 PAULINE W STEVENSON EST,Fairfield,SC,
79,002-00-00-008-000,CURRENT RESIDENT,1ST DIRT RD S CNTY LINE HWY 215,Fairfield,SC,
80,002-00-00-012-000,CURRENT RESIDENT,EITHER SIDE 215 CNTY LINE,Fairfield,SC,
81,002-00-00-038-000,CURRENT RESIDENT,TAYLOR ROAD,Fairfield,SC,
82,002-00-00-016-000,CURRENT RESIDENT,S COUNTY LINE HEYMAN TRACT,Fairfield,SC,
83,003-00-00-001-000,CURRENT RESIDENT,INT HWY 50 & 215,Fairfield,SC,
84,002-00-00-009-000,CURRENT RESIDENT,STATE HWY 215 NORTH,Fairfield,SC,
85,002-00-00-010-000,CURRENT RESIDENT,11989 STATE HWY 215 NORTH,Fairfield,SC,
86,002-00-00-058-000,CURRENT RESIDENT,E OF FAULKNER RD & SC 215,Fairfield,SC,
87,002-00-00-015-000,CURRENT RESIDENT,BOULWARE TRACT,Fairfield,SC,
88,002-00-00-018-000,CURRENT RESIDENT,11663 99 ROAD,Fairfield,SC,
89,002-00-00-026-000,CURRENT RESIDENT,11489 ST HWY #215-N,Fairfield,SC,
90,002-00-00-017-000,CURRENT RESIDENT,11638 ST HWY #215-N,Fairfield,SC,
91,002-00-00-057-000,CURRENT RESIDENT,STONEY TRAIL,Fairfield,SC,
92,002-00-00-039-000,CURRENT RESIDENT,292 TAYLOR ROAD,Fairfield,SC,
93,002-00-00-040-000,CURRENT RESIDENT,TAYLOR ROAD,Fairfield,SC,
94,002-00-00-041-000,CURRENT RESIDENT,210 TAYLOR ROAD,Fairfield,SC,
95,002-00-00-027-000,CURRENT RESIDENT,3400FT S CO LINE HWY 215 EAST SIDE,Fairfield,SC,
96,002-00-00-031-000,CURRENT RESIDENT,90 STONEY TRAIL,Fairfield,SC,
97,002-00-00-044-000,CURRENT RESIDENT,29 BLUE MOON DR,Fairfield,SC,
98,002-00-00-045-000,CURRENT RESIDENT,11280 STATE HWY 215,Fairfield,SC,
99,002-00-00-043-000,CURRENT RESIDENT,11344 STATE HWY 215,Fairfield,SC,
100,002-00-00-051-000,CURRENT RESIDENT,OFF TAYLOR ROAD,Fairfield,SC,
101,003-00-00-006-000,CURRENT RESIDENT,7800FT E INT HWY 215 & HWY 50 N SID,Fairfield,SC,
102,002-00-00-022-000,CURRENT RESIDENT,278 STEVENSON RD,Fairfield,SC,
103,002-00-00-023-000,CURRENT RESIDENT,222 STEVENSON RD,Fairfield,SC,
104,002-00-00-024-000,CURRENT RESIDENT,11283 HWY #215-N,Fairfield,SC,
105,002-00-00-056-000,CURRENT RESIDENT,213 STEVENSON ROAD & 217 STEVENSON ROAD,Fairfield,SC,
106,012-00-00-005-000,CURRENT RESIDENT,E INT HWY 50 & 215,Fairfield,SC,
107,012-00-00-007-000,CURRENT RESIDENT,3770 COOL BRANCH ROAD,Fairfield,SC,
108,012-00-00-008-000,CURRENT RESIDENT,3478 COOL BRANCH ROAD,Fairfield,SC,
109,012-00-00-006-000,CURRENT RESIDENT,COOL BRANCH ROAD,Fairfield,SC,
