census_block_group,B00001e1,B00001m1,B00002e1,B00002m1
450399601001,135,-1,80,-1
450399601002,121,-1,77,-1
450399602001,56,-1,31,-1
450399602002,97,-1,61,-1
450399602003,113,-1,50,-1
450399603001,66,-1,55,-1
450399603002,81,-1,35,-1
450399603003,67,-1,27,-1
450399603004,193,-1,84,-1
450399604001,50,-1,23,-1
450399604002,40,-1,23,-1
450399604003,37,-1,24,-1
450399604004,40,-1,27,-1
450399604005,71,-1,37,-1
450399605001,82,-1,30,-1
450399605002,55,-1,27,-1
450399605003,66,-1,30,-1
450399605004,38,-1,23,-1
