census_block_group,B01001e1,B01001m1,B01001e2,B01001m2,B01001e3,B01001m3,B01001e4,B01001m4,B01001e5,B01001m5,B01001e6,B01001m6,B01001e7,B01001m7,B01001e8,B01001m8,B01001e9,B01001m9,B01001e10,B01001m10,B01001e11,B01001m11,B01001e12,B01001m12,B01001e13,B01001m13,B01001e14,B01001m14,B01001e15,B01001m15,B01001e16,B01001m16,B01001e17,B01001m17,B01001e18,B01001m18,B01001e19,B01001m19,B01001e20,B01001m20,B01001e21,B01001m21,B01001e22,B01001m22,B01001e23,B01001m23,B01001e24,B01001m24,B01001e25,B01001m25,B01001e26,B01001m26,B01001e27,B01001m27,B01001e28,B01001m28,B01001e29,B01001m29,B01001e30,B01001m30,B01001e31,B01001m31,B01001e32,B01001m32,B01001e33,B01001m33,B01001e34,B01001m34,B01001e35,B01001m35,B01001e36,B01001m36,B01001e37,B01001m37,B01001e38,B01001m38,B01001e39,B01001m39,B01001e40,B01001m40,B01001e41,B01001m41,B01001e42,B01001m42,B01001e43,B01001m43,B01001e44,B01001m44,B01001e45,B01001m45,B01001e46,B01001m46,B01001e47,B01001m47,B01001e48,B01001m48,B01001e49,B01001m49,B01002e1,B01002m1,B01002e2,B01002m2,B01002e3,B01002m3,B01002Ae1,B01002Am1,B01002Ae2,B01002Am2,B01002Ae3,B01002Am3,B01002Be1,B01002Bm1,B01002Be2,B01002Bm2,B01002Be3,B01002Bm3,B01002Ce1,B01002Cm1,B01002Ce2,B01002Cm2,B01002Ce3,B01002Cm3,B01002De1,B01002Dm1,B01002De2,B01002Dm2,B01002De3,B01002Dm3,B01002Ee1,B01002Em1,B01002Ee2,B01002Em2,B01002Ee3,B01002Em3,B01002Fe1,B01002Fm1,B01002Fe2,B01002Fm2,B01002Fe3,B01002Fm3,B01002Ge1,B01002Gm1,B01002Ge2,B01002Gm2,B01002Ge3,B01002Gm3,B01002He1,B01002Hm1,B01002He2,B01002Hm2,B01002He3,B01002Hm3,B01002Ie1,B01002Im1,B01002Ie2,B01002Im2,B01002Ie3,B01002Im3,B01003e1,B01003m1
450399601001,1101,211,475,123,23,23,7,13,11,16,22,27,16,17,0,12,0,12,8,12,48,46,19,31,25,22,50,37,41,37,41,30,60,37,34,32,9,13,0,12,30,24,15,13,0,12,0,12,16,17,626,144,48,40,61,38,23,19,32,26,27,27,0,12,0,12,42,42,17,21,23,26,36,34,28,22,44,30,70,41,37,21,36,28,0,12,19,22,12,13,20,18,5,11,36,39,10,17,44.3,5.3,45.4,6.2,40.8,10.6,51.5,13.5,51.1,19.7,54,19.4,44.6,5.7,45.5,6.5,40.2,11.8,,,,,,,,,,,,,,,,,,,,,,,,,15.1,0.4,,,,,51.6,12.8,51.3,17.6,54,19.4,28.3,18.1,28.3,18.1,,,1101,211
450399601002,931,225,433,129,0,12,77,53,62,45,31,31,14,18,0,12,0,12,10,15,5,9,27,23,15,22,15,14,21,21,23,18,12,20,29,28,30,25,8,7,32,22,10,11,6,7,0,12,6,8,498,123,27,30,10,15,6,10,31,28,0,12,19,29,6,12,20,24,26,26,26,24,45,38,29,20,22,27,49,30,60,34,0,12,16,15,11,12,28,15,9,10,46,39,12,16,0,12,42.1,11.2,32.4,15.7,47.2,10.9,54.4,17.9,53.6,9.9,56.5,38.7,37.8,9.4,24.2,21.8,44.6,10.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.4,17.9,53.6,9.9,56.5,38.7,,,,,,,931,225
450399602001,1015,308,379,130,12,20,0,12,0,12,10,18,0,12,45,66,0,12,0,12,0,12,0,12,30,35,0,12,42,41,123,68,6,10,47,49,13,21,0,12,10,14,27,38,7,11,7,10,0,12,636,255,48,62,0,12,67,81,13,23,33,49,0,12,99,89,0,12,27,38,13,25,21,32,13,22,114,72,83,67,13,14,9,15,12,23,5,8,41,52,0,12,7,11,18,29,0,12,47.1,6.8,51.4,3.8,37.9,22.8,43.8,20.6,47.6,18.9,43.2,19.3,48.8,9.3,51,10.2,45.6,15.6,,,,,,,,,,,,,,,,,,,,,,,,,26.3,10.1,,,19.5,9.1,43.8,20.6,47.6,18.9,43.2,19.3,,,,,,,1015,308
450399602002,1260,286,641,167,5,23,34,40,24,37,27,29,0,12,31,46,0,12,21,34,13,19,65,46,18,20,26,38,46,44,105,54,10,16,36,37,37,27,13,20,16,19,53,45,34,29,21,22,6,11,619,196,105,109,0,12,6,14,0,12,35,50,0,12,0,12,86,80,62,52,17,42,8,15,16,26,57,46,40,41,38,28,11,13,35,25,0,12,54,38,13,19,11,12,0,12,25,32,47.6,8.8,52.5,8.1,32.8,28.7,48.5,12.2,52.2,16.6,48,27.6,48.4,12.3,52.8,10.7,48,20.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.5,12.2,52.2,16.6,48,27.6,,,,,,,1260,286
450399602003,1467,346,907,238,80,78,11,17,33,36,25,39,14,17,0,12,0,12,17,34,12,19,36,38,187,117,147,76,66,78,47,41,54,48,29,33,40,43,46,47,19,20,25,24,10,11,9,13,0,12,560,164,18,34,18,27,18,23,22,33,0,12,0,12,0,12,0,12,17,26,43,44,86,50,16,22,0,12,49,45,82,72,43,40,30,39,19,20,10,16,36,25,23,31,18,18,12,15,41.9,5.2,40.8,3.5,54.5,8.8,38.3,4.3,37.3,6.4,39,11.7,47.3,7.2,42,7.4,59.2,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.3,4.3,37.3,6.4,39,11.7,,,,,,,1467,346
450399603001,1046,230,498,123,0,12,0,12,0,12,0,12,0,12,36,58,0,12,0,12,0,12,0,12,13,20,13,20,45,46,16,24,70,48,29,31,61,47,27,30,81,55,31,32,29,26,7,13,40,36,548,138,0,12,0,12,29,43,15,25,0,12,0,12,0,12,0,12,16,25,0,12,0,12,52,51,26,41,120,80,30,33,29,32,31,36,0,12,96,52,69,58,9,16,26,30,0,12,61.5,5.7,63.8,3.4,58.1,8.6,60.4,6.4,63.2,5,57.4,8.1,72.6,10.5,72.7,20.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.7,6.4,63.2,5,57.8,8.2,,,,,,,1046,230
450399603002,890,370,452,245,12,17,37,55,93,80,32,42,0,12,0,12,0,12,0,12,26,41,12,16,26,33,38,71,24,27,19,25,69,110,1,3,8,10,38,31,16,26,0,12,1,2,0,12,0,12,438,189,0,12,0,12,10,13,2,5,29,45,31,57,0,12,0,12,7,9,3,5,97,97,34,58,15,21,1,3,71,58,22,32,20,28,32,39,56,59,4,8,4,6,0,12,0,12,40.7,15.4,36.5,17.5,48.4,22.2,39.3,16.7,30.5,31.1,56,24.9,41.3,22,40.6,25.9,41.8,30.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.3,16.7,30.5,31.1,56,24.9,,,,,,,890,370
450399603003,1482,370,733,238,32,52,29,49,143,104,43,32,0,12,0,12,0,12,0,12,41,57,69,85,59,78,62,94,61,67,40,43,27,31,37,44,6,12,46,50,6,12,12,20,5,11,5,11,10,11,749,237,22,44,36,61,75,89,0,12,0,12,0,12,0,12,40,69,32,53,89,81,0,12,69,39,39,48,52,60,104,65,22,33,25,39,0,12,62,55,29,30,5,11,32,50,16,19,42.2,7.9,39,11,45.8,13.1,48.2,16.5,34.2,14,59,13.2,39.5,12.5,39.5,9.5,41,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.2,16.5,34.2,14,59,13.2,,,,,,,1482,370
450399603004,2257,483,1145,271,11,15,128,127,45,43,28,37,4,9,79,89,8,13,0,12,28,40,47,72,31,24,33,30,145,93,96,66,171,125,32,35,39,61,48,44,35,37,45,61,27,30,17,25,48,55,1112,288,9,13,158,106,44,61,31,39,0,12,0,12,0,12,3,4,33,36,21,35,12,26,79,73,163,114,142,94,48,42,90,105,72,63,24,34,11,15,59,46,29,34,6,15,78,62,49.8,3.9,48.8,5.8,51.1,4.7,51.4,4.7,51.9,1.9,46.9,11.6,49.6,6.1,51.8,13.8,49.5,5.6,,,,,,,47.2,10.7,,,,,,,,,,,,,,,,,52.2,49,,,,,51.4,4.7,51.9,1.9,46.9,11.6,,,,,,,2257,483
450399604001,962,320,583,199,0,12,88,103,29,51,40,46,0,12,0,12,0,12,0,12,49,51,23,37,64,62,88,75,39,61,15,25,38,58,0,12,11,22,0,12,30,31,62,54,7,11,0,12,0,12,379,168,59,65,24,38,0,12,13,22,0,12,0,12,0,12,0,12,15,27,0,12,15,25,14,24,37,48,32,28,18,29,30,47,83,70,11,19,0,12,23,28,5,11,0,12,0,12,41,9,39,6,52.9,13.2,37.6,12.5,36.9,16.6,37.7,30.9,49.9,13.5,38.8,8.9,58,12.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.6,12.5,36.9,16.6,37.7,30.9,,,,,,,962,320
450399604002,822,325,333,154,14,24,0,12,31,49,69,63,11,18,0,12,21,38,11,18,0,12,11,20,34,57,21,30,0,12,26,30,0,12,0,12,43,41,27,33,0,12,0,12,0,12,14,16,0,12,489,244,18,32,18,32,0,12,0,12,0,12,0,12,0,12,0,12,11,18,11,20,77,105,18,31,51,49,83,91,42,40,51,48,13,20,0,12,12,21,12,20,6,11,0,12,66,70,46.7,14.1,32.9,22.4,53.5,9.3,58.4,9.7,62.3,22.7,58.3,7.7,35.5,8.2,18.9,7.1,35.9,28.7,,,,,,,,,,,,,,,,,,,5.6,0.2,,,5.3,0.2,,,,,,,58.4,9.7,62.3,22.7,58.3,7.7,5.6,0.2,,,5.3,0.2,822,325
450399604003,660,274,319,124,23,38,23,38,0,12,0,12,0,12,0,12,0,12,69,75,0,12,0,12,22,36,0,12,29,40,61,52,13,22,57,63,0,12,0,12,10,18,0,12,6,10,6,10,0,12,341,187,25,42,0,12,0,12,40,58,0,12,0,12,22,38,0,12,0,12,0,12,0,12,0,12,11,22,76,65,61,75,0,12,0,12,9,15,13,20,10,16,60,73,8,16,6,11,52.3,5.7,48.6,10.4,54.8,10,54.2,8.9,50.9,6.8,59.4,7,45.7,49.6,24.6,40,51.3,52.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.2,8.9,50.9,6.8,59.4,7,,,,,,,660,274
450399604004,815,293,325,143,37,59,0,12,0,12,0,12,0,12,77,86,19,36,30,47,0,12,0,12,0,12,3,17,0,12,20,31,46,37,0,12,0,12,14,25,0,12,26,30,25,37,17,23,11,20,490,210,56,77,21,35,0,12,0,12,0,12,46,75,0,12,88,98,0,12,49,54,38,52,0,12,59,59,0,12,27,33,0,12,13,22,0,12,14,22,9,16,28,42,17,22,25,39,32.5,20.2,25,68.4,32.5,15.5,58.5,8.8,58.9,12.3,55.5,37.2,23.7,3.7,21.6,21.4,23.9,17.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.5,6.7,58.8,9.4,55.5,37.2,,,,,,,815,293
