census_block_group,B02001e1,B02001m1,B02001e2,B02001m2,B02001e3,B02001m3,B02001e4,B02001m4,B02001e5,B02001m5,B02001e6,B02001m6,B02001e7,B02001m7,B02001e8,B02001m8,B02001e9,B02001m9,B02001e10,B02001m10,B02008e1,B02008m1,B02009e1,B02009m1,B02010e1,B02010m1,B02011e1,B02011m1,B02012e1,B02012m1,B02013e1,B02013m1,C02003e1,C02003m1,C02003e2,C02003m2,C02003e3,C02003m3,C02003e4,C02003m4,C02003e5,C02003m5,C02003e6,C02003m6,C02003e7,C02003m7,C02003e8,C02003m8,C02003e9,C02003m9,C02003e10,C02003m10,C02003e11,C02003m11,C02003e12,C02003m12,C02003e13,C02003m13,C02003e14,C02003m14,C02003e15,C02003m15,C02003e16,C02003m16,C02003e17,C02003m17,C02003e18,C02003m18,C02003e19,C02003m19
450399601001,1101,211,111,66,969,218,0,12,0,12,0,12,1,2,20,28,0,12,20,28,111,66,989,223,0,12,20,28,0,12,1,2,1101,211,1081,208,111,66,969,218,0,12,0,12,0,12,1,2,20,28,0,12,20,28,20,28,0,12,0,12,0,12,0,12,20,28,0,12,0,12
450399601002,931,225,140,64,788,213,0,12,0,12,0,12,0,12,3,6,0,12,3,6,143,64,788,213,3,6,0,12,0,12,0,12,931,225,928,225,140,64,788,213,0,12,0,12,0,12,0,12,3,6,0,12,3,6,3,6,0,12,3,6,0,12,0,12,0,12,0,12,0,12
450399602001,1015,308,149,106,700,255,0,12,0,12,0,12,0,12,166,172,0,12,166,172,246,166,866,297,69,109,0,12,0,12,0,12,1015,308,849,270,149,106,700,255,0,12,0,12,0,12,0,12,166,172,0,12,166,172,166,172,97,140,0,12,0,12,69,109,0,12,0,12,0,12
450399602002,1260,286,843,182,334,195,0,12,0,12,0,12,0,12,83,101,83,101,0,12,926,198,334,195,0,12,0,12,0,12,83,101,1260,286,1177,270,843,182,334,195,0,12,0,12,0,12,0,12,83,101,83,101,0,12,83,101,0,12,0,12,0,12,0,12,83,101,0,12,0,12
450399602003,1467,346,619,218,769,251,30,41,0,12,0,12,27,42,22,35,0,12,22,35,641,223,769,251,30,41,22,35,0,12,27,42,1467,346,1445,334,619,218,769,251,30,41,0,12,0,12,27,42,22,35,0,12,22,35,22,35,0,12,0,12,22,35,0,12,0,12,0,12,0,12
450399603001,1046,230,982,224,64,63,0,12,0,12,0,12,0,12,0,12,0,12,0,12,982,224,64,63,0,12,0,12,0,12,0,12,1046,230,1046,230,982,224,64,63,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
450399603002,890,370,414,218,475,293,0,12,0,12,0,12,0,12,1,3,0,12,1,3,415,218,475,293,1,3,0,12,0,12,0,12,890,370,889,370,414,218,475,293,0,12,0,12,0,12,0,12,1,3,0,12,1,3,1,3,0,12,1,3,0,12,0,12,0,12,0,12,0,12
450399603003,1482,370,610,253,872,292,0,12,0,12,0,12,0,12,0,12,0,12,0,12,610,253,872,292,0,12,0,12,0,12,0,12,1482,370,1482,370,610,253,872,292,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
450399603004,2257,483,806,276,1223,346,0,12,45,78,0,12,4,11,179,172,0,12,179,172,806,276,1402,369,179,172,45,78,0,12,4,11,2257,483,2078,471,806,276,1223,346,0,12,45,78,0,12,4,11,179,172,0,12,179,172,179,172,0,12,0,12,0,12,179,172,0,12,0,12,0,12
450399604001,962,320,660,268,293,183,0,12,0,12,0,12,0,12,9,15,0,12,9,15,669,272,293,183,9,15,0,12,0,12,0,12,962,320,953,316,660,268,293,183,0,12,0,12,0,12,0,12,9,15,0,12,9,15,9,15,0,12,9,15,0,12,0,12,0,12,0,12,0,12
450399604002,822,325,441,240,323,211,0,12,0,12,0,12,58,102,0,12,0,12,0,12,441,240,323,211,0,12,0,12,0,12,58,102,822,325,822,325,441,240,323,211,0,12,0,12,0,12,58,102,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
450399604003,660,274,411,167,249,218,0,12,0,12,0,12,0,12,0,12,0,12,0,12,411,167,249,218,0,12,0,12,0,12,0,12,660,274,660,274,411,167,249,218,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
450399604004,815,293,301,167,514,240,0,12,0,12,0,12,0,12,0,12,0,12,0,12,301,167,514,240,0,12,0,12,0,12,0,12,815,293,815,293,301,167,514,240,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
450399604005,2115,510,678,221,1437,459,0,12,0,12,0,12,0,12,0,12,0,12,0,12,678,221,1437,459,0,12,0,12,0,12,0,12,2115,510,2115,510,678,221,1437,459,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
450399605001,2015,657,686,245,1106,563,0,12,0,12,0,12,0,12,223,295,0,12,223,295,909,414,1248,552,81,107,0,12,0,12,0,12,2015,657,1792,630,686,245,1106,563,0,12,0,12,0,12,0,12,223,295,0,12,223,295,223,295,142,190,81,107,0,12,0,12,0,12,0,12,0,12
450399605002,1236,457,479,225,639,375,0,12,0,12,0,12,0,12,118,117,0,12,118,117,597,233,695,398,62,88,0,12,0,12,0,12,1236,457,1118,443,479,225,639,375,0,12,0,12,0,12,0,12,118,117,0,12,118,117,118,117,56,83,62,88,0,12,0,12,0,12,0,12,0,12
450399605003,1596,452,418,202,1178,472,0,12,0,12,0,12,0,12,0,12,0,12,0,12,418,202,1178,472,0,12,0,12,0,12,0,12,1596,452,1596,452,418,202,1178,472,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
450399605004,1355,590,246,142,1109,597,0,12,0,12,0,12,0,12,0,12,0,12,0,12,246,142,1109,597,0,12,0,12,0,12,0,12,1355,590,1355,590,246,142,1109,597,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
