census_block_group,B03002e1,B03002m1,B03002e2,B03002m2,B03002e3,B03002m3,B03002e4,B03002m4,B03002e5,B03002m5,B03002e6,B03002m6,B03002e7,B03002m7,B03002e8,B03002m8,B03002e9,B03002m9,B03002e10,B03002m10,B03002e11,B03002m11,B03002e12,B03002m12,B03002e13,B03002m13,B03002e14,B03002m14,B03002e15,B03002m15,B03002e16,B03002m16,B03002e17,B03002m17,B03002e18,B03002m18,B03002e19,B03002m19,B03002e20,B03002m20,B03002e21,B03002m21,B03003e1,B03003m1,B03003e2,B03003m2,B03003e3,B03003m3
450399601001,1101,211,1098,212,109,66,969,218,0,12,0,12,0,12,0,12,20,28,0,12,20,28,3,5,2,4,0,12,0,12,0,12,0,12,1,2,0,12,0,12,0,12,1101,211,1098,212,3,5
450399601002,931,225,931,225,140,64,788,213,0,12,0,12,0,12,0,12,3,6,0,12,3,6,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,931,225,931,225,0,12
450399602001,1015,308,1015,308,149,106,700,255,0,12,0,12,0,12,0,12,166,172,0,12,166,172,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,1015,308,1015,308,0,12
450399602002,1260,286,1260,286,843,182,334,195,0,12,0,12,0,12,0,12,83,101,83,101,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,1260,286,1260,286,0,12
450399602003,1467,346,1467,346,619,218,769,251,30,41,0,12,0,12,27,42,22,35,0,12,22,35,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,1467,346,1467,346,0,12
450399603001,1046,230,1032,231,968,225,64,63,0,12,0,12,0,12,0,12,0,12,0,12,0,12,14,30,14,30,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,1046,230,1032,231,14,30
450399603002,890,370,890,370,414,218,475,293,0,12,0,12,0,12,0,12,1,3,0,12,1,3,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,890,370,890,370,0,12
450399603003,1482,370,1482,370,610,253,872,292,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,1482,370,1482,370,0,12
450399603004,2257,483,2253,482,806,276,1223,346,0,12,45,78,0,12,0,12,179,172,0,12,179,172,4,11,0,12,0,12,0,12,0,12,0,12,4,11,0,12,0,12,0,12,2257,483,2253,482,4,11
450399604001,962,320,962,320,660,268,293,183,0,12,0,12,0,12,0,12,9,15,0,12,9,15,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,962,320,962,320,0,12
450399604002,822,325,764,314,441,240,323,211,0,12,0,12,0,12,0,12,0,12,0,12,0,12,58,102,0,12,0,12,0,12,0,12,0,12,58,102,0,12,0,12,0,12,822,325,764,314,58,102
450399604003,660,274,660,274,411,167,249,218,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,660,274,660,274,0,12
450399604004,815,293,807,291,293,166,514,240,0,12,0,12,0,12,0,12,0,12,0,12,0,12,8,18,8,18,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,815,293,807,291,8,18
450399604005,2115,510,1755,476,334,198,1421,451,0,12,0,12,0,12,0,12,0,12,0,12,0,12,360,121,344,134,16,37,0,12,0,12,0,12,0,12,0,12,0,12,0,12,2115,510,1755,476,360,121
450399605001,2015,657,2015,657,686,245,1106,563,0,12,0,12,0,12,0,12,223,295,0,12,223,295,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,2015,657,2015,657,0,12
450399605002,1236,457,1236,457,479,225,639,375,0,12,0,12,0,12,0,12,118,117,0,12,118,117,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,1236,457,1236,457,0,12
450399605003,1596,452,1596,452,418,202,1178,472,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,1596,452,1596,452,0,12
450399605004,1355,590,1355,590,246,142,1109,597,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,1355,590,1355,590,0,12
