census_block_group,B07201e1,B07201m1,B07201e2,B07201m2,B07201e3,B07201m3,B07201e4,B07201m4,B07201e5,B07201m5,B07201e6,B07201m6,B07201e7,B07201m7,B07201e8,B07201m8,B07201e9,B07201m9,B07201e10,B07201m10,B07201e11,B07201m11,B07201e12,B07201m12,B07201e13,B07201m13,B07201e14,B07201m14,B07201PRe1,B07201PRm1,B07201PRe2,B07201PRm2,B07201PRe3,B07201PRm3,B07201PRe4,B07201PRm4,B07201PRe5,B07201PRm5,B07201PRe6,B07201PRm6,B07201PRe7,B07201PRm7,B07201PRe8,B07201PRm8,B07201PRe9,B07201PRm9,B07201PRe10,B07201PRm10,B07201PRe11,B07201PRm11,B07201PRe12,B07201PRm12,B07201PRe13,B07201PRm13,B07201PRe14,B07201PRm14,B07201PRe15,B07201PRm15,B07201PRe16,B07201PRm16,B07201PRe17,B07201PRm17,B07201PRe18,B07201PRm18,B07201PRe19,B07201PRm19,B07201PRe20,B07201PRm20,B07201PRe21,B07201PRm21,B07201PRe22,B07201PRm22,B07202e1,B07202m1,B07202e2,B07202m2,B07202e3,B07202m3,B07202e4,B07202m4,B07202e5,B07202m5,B07202e6,B07202m6,B07202e7,B07202m7,B07202e8,B07202m8,B07202e9,B07202m9,B07202e10,B07202m10,B07202e11,B07202m11,B07202e12,B07202m12,B07202e13,B07202m13,B07202e14,B07202m14,B07202PRe1,B07202PRm1,B07202PRe2,B07202PRm2,B07202PRe3,B07202PRm3,B07202PRe4,B07202PRm4,B07202PRe5,B07202PRm5,B07202PRe6,B07202PRm6,B07202PRe7,B07202PRm7,B07202PRe8,B07202PRm8,B07202PRe9,B07202PRm9,B07202PRe10,B07202PRm10,B07202PRe11,B07202PRm11,B07203e1,B07203m1,B07203e2,B07203m2,B07203e3,B07203m3,B07203e4,B07203m4,B07203e5,B07203m5,B07203e6,B07203m6,B07203e7,B07203m7,B07203e8,B07203m8,B07203e9,B07203m9,B07203e10,B07203m10,B07203e11,B07203m11,B07203PRe1,B07203PRm1,B07203PRe2,B07203PRm2,B07203PRe3,B07203PRm3,B07203PRe4,B07203PRm4,B07203PRe5,B07203PRm5,B07203PRe6,B07203PRm6,B07203PRe7,B07203PRm7,B07203PRe8,B07203PRm8
450399601001,1091,207,1052,204,39,28,32,27,0,12,32,27,7,12,1,2,6,12,0,12,0,12,0,12,0,12,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,,,,,,,,,,,,,,,,,,,,,,,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,,,,,,,,,,,,,,,,
450399601002,919,220,908,216,11,20,5,9,0,12,5,9,6,12,6,12,0,12,0,12,0,12,0,12,0,12,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,,,,,,,,,,,,,,,,,,,,,,,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,,,,,,,,,,,,,,,,
450399602001,1015,308,999,309,16,24,15,24,0,12,15,24,1,4,1,4,0,12,0,12,0,12,0,12,0,12,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,,,,,,,,,,,,,,,,,,,,,,,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,,,,,,,,,,,,,,,,
450399602002,1260,286,1212,258,48,98,15,23,0,12,15,23,33,90,0,12,33,90,0,12,0,12,0,12,0,12,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,,,,,,,,,,,,,,,,,,,,,,,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,,,,,,,,,,,,,,,,
450399602003,1467,346,1279,313,110,106,110,106,0,12,110,106,0,12,0,12,0,12,0,12,0,12,0,12,0,12,78,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,,,,,,,,,,,,,,,,,,,,,,,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,,,,,,,,,,,,,,,,
450399603001,1046,230,1000,233,46,53,17,27,0,12,17,27,29,45,0,12,29,45,0,12,0,12,0,12,0,12,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,,,,,,,,,,,,,,,,,,,,,,,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,,,,,,,,,,,,,,,,
450399603002,890,370,774,332,116,113,98,110,0,12,98,110,18,24,3,5,15,24,0,12,0,12,0,12,0,12,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,,,,,,,,,,,,,,,,,,,,,,,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,,,,,,,,,,,,,,,,
450399603003,1482,370,1460,375,22,29,6,11,0,12,6,11,16,21,16,21,0,12,0,12,0,12,0,12,0,12,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,,,,,,,,,,,,,,,,,,,,,,,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,,,,,,,,,,,,,,,,
450399603004,2254,483,2163,478,91,81,58,57,0,12,58,57,33,44,7,14,26,37,0,12,0,12,0,12,0,12,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,,,,,,,,,,,,,,,,,,,,,,,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,,,,,,,,,,,,,,,,
450399604001,962,320,873,292,89,80,55,66,0,12,55,66,34,48,0,12,34,48,0,12,0,12,0,12,0,12,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,,,,,,,,,,,,,,,,,,,,,,,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,,,,,,,,,,,,,,,,
