census_block_group,B09002e1,B09002m1,B09002e2,B09002m2,B09002e3,B09002m3,B09002e4,B09002m4,B09002e5,B09002m5,B09002e6,B09002m6,B09002e7,B09002m7,B09002e8,B09002m8,B09002e9,B09002m9,B09002e10,B09002m10,B09002e11,B09002m11,B09002e12,B09002m12,B09002e13,B09002m13,B09002e14,B09002m14,B09002e15,B09002m15,B09002e16,B09002m16,B09002e17,B09002m17,B09002e18,B09002m18,B09002e19,B09002m19,B09002e20,B09002m20,B09018e1,B09018m1,B09018e2,B09018m2,B09018e3,B09018m3,B09018e4,B09018m4,B09018e5,B09018m5,B09018e6,B09018m6,B09018e7,B09018m7,B09018e8,B09018m8,B09019e1,B09019m1,B09019e2,B09019m2,B09019e3,B09019m3,B09019e4,B09019m4,B09019e5,B09019m5,B09019e6,B09019m6,B09019e7,B09019m7,B09019e8,B09019m8,B09019e9,B09019m9,B09019e10,B09019m10,B09019e11,B09019m11,B09019e12,B09019m12,B09019e13,B09019m13,B09019e14,B09019m14,B09019e15,B09019m15,B09019e16,B09019m16,B09019e17,B09019m17,B09019e18,B09019m18,B09019e19,B09019m19,B09019e20,B09019m20,B09019e21,B09019m21,B09019e22,B09019m22,B09019e23,B09019m23,B09019e24,B09019m24,B09019e25,B09019m25,B09019e26,B09019m26,B09019e27,B09019m27,B09019e28,B09019m28,B09019e29,B09019m29,B09019e30,B09019m30,B09019e31,B09019m31,B09019e32,B09019m32,B09019e33,B09019m33,B09019e34,B09019m34,B09019e35,B09019m35,B09019e36,B09019m36,B09019e37,B09019m37,B09019e38,B09019m38,B09020e1,B09020m1,B09020e2,B09020m2,B09020e3,B09020m3,B09020e4,B09020m4,B09020e5,B09020m5,B09020e6,B09020m6,B09020e7,B09020m7,B09020e8,B09020m8,B09020e9,B09020m9,B09020e10,B09020m10,B09020e11,B09020m11,B09020e12,B09020m12,B09020e13,B09020m13,B09020e14,B09020m14,B09020e15,B09020m15,B09020e16,B09020m16,B09020e17,B09020m17,B09020e18,B09020m18,B09020e19,B09020m19,B09020e20,B09020m20,B09020e21,B09020m21,B09021e1,B09021m1,B09021e2,B09021m2,B09021e3,B09021m3,B09021e4,B09021m4,B09021e5,B09021m5,B09021e6,B09021m6,B09021e7,B09021m7,B09021e8,B09021m8,B09021e9,B09021m9,B09021e10,B09021m10,B09021e11,B09021m11,B09021e12,B09021m12,B09021e13,B09021m13,B09021e14,B09021m14,B09021e15,B09021m15,B09021e16,B09021m16,B09021e17,B09021m17,B09021e18,B09021m18,B09021e19,B09021m19,B09021e20,B09021m20,B09021e21,B09021m21,B09021e22,B09021m22,B09021e23,B09021m23,B09021e24,B09021m24,B09021e25,B09021m25,B09021e26,B09021m26,B09021e27,B09021m27,B09021e28,B09021m28
450399601001,163,77,59,50,0,12,0,12,0,12,40,30,19,28,104,72,16,22,0,12,0,12,0,12,0,12,16,22,88,69,24,25,12,15,0,12,20,25,32,33,227,98,163,77,163,77,0,12,0,12,57,45,0,12,7,11,1101,211,1096,212,893,197,251,53,88,44,163,51,124,44,339,126,327,124,0,12,12,18,57,45,84,53,22,31,0,12,0,12,0,12,16,17,0,12,0,12,9,13,0,12,7,11,203,73,187,70,68,39,60,38,8,12,119,54,114,53,5,7,16,17,9,13,0,12,7,10,0,12,0,12,5,7,163,59,163,59,70,45,34,21,19,16,15,13,27,24,0,12,0,12,9,14,0,12,93,47,93,47,26,22,26,22,0,12,67,42,67,42,0,12,0,12,0,12,869,164,174,69,253,83,31,32,176,85,221,86,14,20,196,87,5,10,8,12,0,12,145,77,38,40,0,12,510,125,76,42,195,73,31,32,31,35,163,75,14,20,163,59,93,47,50,40,0,12,0,12,20,23,0,12
450399601002,159,97,21,25,12,21,0,12,0,12,9,15,0,12,138,92,20,33,0,12,0,12,0,12,20,33,0,12,118,96,0,12,0,12,0,12,31,34,87,70,244,123,159,97,159,97,0,12,0,12,85,72,0,12,0,12,931,225,931,225,780,221,224,61,58,24,166,54,114,46,283,116,283,116,0,12,0,12,105,75,4,7,19,26,0,12,8,13,0,12,23,24,0,12,0,12,23,24,0,12,0,12,151,53,151,53,65,32,65,32,0,12,86,45,86,45,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,168,55,168,55,110,37,77,29,39,17,38,29,33,17,0,12,0,12,0,12,0,12,58,39,58,39,18,19,18,19,0,12,40,34,40,34,0,12,0,12,0,12,687,138,151,53,216,84,43,46,124,56,153,70,0,12,153,65,10,16,26,39,8,13,67,45,42,33,0,12,366,95,83,39,110,73,35,43,57,41,81,41,0,12,168,55,58,39,80,32,0,12,0,12,30,28,0,12
450399602001,150,129,102,103,12,22,48,60,0,12,0,12,42,53,48,71,42,69,0,12,0,12,0,12,0,12,42,69,6,17,0,12,0,12,0,12,0,12,6,17,150,129,150,129,137,119,0,12,13,23,0,12,0,12,0,12,1015,308,1015,308,900,337,262,85,121,64,141,73,215,85,328,203,269,164,0,12,59,81,0,12,7,20,0,12,0,12,0,12,17,25,71,78,0,12,0,12,26,41,0,12,45,66,115,89,91,68,13,21,0,12,13,21,78,63,78,63,0,12,24,39,0,12,24,39,0,12,0,12,0,12,0,12,122,91,122,91,122,91,69,48,42,35,27,33,53,52,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,865,231,78,63,420,157,53,81,178,110,54,64,82,90,217,123,0,12,13,25,0,12,159,107,0,12,45,66,526,135,78,63,311,144,53,81,19,33,28,42,37,59,122,91,0,12,96,90,0,12,0,12,26,32,0,12
450399602002,184,142,26,29,0,12,0,12,0,12,10,18,16,24,158,142,11,18,0,12,0,12,0,12,0,12,11,18,147,144,83,101,16,29,24,37,24,37,0,12,201,151,184,142,173,143,11,18,0,12,17,48,0,12,0,12,1260,286,1260,286,1076,285,385,95,165,76,220,89,255,77,341,166,299,169,42,63,0,12,43,63,0,12,17,29,0,12,0,12,17,29,18,28,0,12,0,12,18,28,0,12,0,12,184,109,158,84,107,62,107,62,0,12,51,52,17,16,34,46,26,38,0,12,0,12,26,38,0,12,0,12,0,12,246,96,246,96,212,97,105,51,39,33,66,43,78,44,17,29,0,12,12,20,0,12,34,26,34,26,21,22,21,22,0,12,13,14,13,14,0,12,0,12,0,12,1059,212,124,66,505,152,94,97,157,96,179,101,0,12,330,119,45,49,47,54,34,46,120,90,84,75,0,12,483,144,45,40,308,125,60,65,25,36,45,45,0,12,246,96,34,26,150,75,0,12,12,20,50,49,0,12
450399602003,161,101,131,90,22,35,45,65,0,12,31,35,33,37,30,54,0,12,0,12,0,12,0,12,0,12,0,12,30,54,18,34,0,12,0,12,12,22,0,12,225,111,161,101,139,94,0,12,22,33,39,49,25,39,0,12,1467,346,1409,346,1241,362,381,104,221,98,160,79,288,87,428,189,406,186,0,12,22,33,46,50,0,12,19,30,0,12,0,12,66,62,13,22,0,12,0,12,13,22,0,12,0,12,168,98,168,98,134,94,134,94,0,12,34,30,34,30,0,12,0,12,0,12,0,12,0,12,0,12,0,12,58,30,227,83,227,83,200,79,81,33,52,31,29,23,100,53,19,30,0,12,0,12,0,12,27,22,27,22,6,10,6,10,0,12,21,20,21,20,0,12,0,12,0,12,1184,281,168,98,607,187,23,40,267,149,119,91,0,12,106,69,0,12,0,12,23,40,76,60,7,12,0,12,851,232,141,99,443,171,0,12,191,122,76,69,0,12,227,83,27,22,164,76,0,12,0,12,36,35,0,12
450399603001,44,49,15,25,0,12,0,12,0,12,0,12,15,25,29,43,29,43,0,12,0,12,0,12,29,43,0,12,0,12,0,12,0,12,0,12,0,12,0,12,44,49,44,49,44,49,0,12,0,12,0,12,0,12,0,12,1046,230,1046,230,921,234,410,99,264,76,146,82,380,105,80,77,44,49,0,12,36,58,0,12,0,12,25,41,0,12,26,41,0,12,0,12,0,12,0,12,0,12,0,12,0,12,125,68,125,68,64,39,64,39,0,12,61,53,61,53,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,415,125,415,125,374,123,182,68,154,63,28,32,167,65,25,41,0,12,0,12,0,12,41,35,41,35,28,24,28,24,0,12,13,21,13,21,0,12,0,12,0,12,1002,219,125,68,766,199,0,12,36,58,75,84,0,12,52,65,0,12,16,25,0,12,36,58,0,12,0,12,535,173,84,59,412,168,0,12,0,12,39,45,0,12,415,125,41,35,338,122,0,12,0,12,36,45,0,12
450399603002,154,109,114,95,2,4,10,17,0,12,3,6,99,92,40,56,40,56,0,12,0,12,0,12,34,54,6,11,0,12,0,12,0,12,0,12,0,12,0,12,186,122,154,109,154,109,0,12,0,12,32,55,0,12,0,12,890,370,872,370,663,392,175,98,78,61,97,73,104,57,255,176,255,176,0,12,0,12,63,109,66,110,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,209,121,209,121,27,32,27,32,0,12,182,114,182,114,0,12,0,12,0,12,0,12,0,12,0,12,0,12,18,10,151,88,144,87,64,58,44,48,25,32,19,34,20,27,0,12,0,12,0,12,0,12,80,70,80,70,12,22,12,22,0,12,68,67,68,67,0,12,0,12,7,11,686,281,209,121,219,122,0,12,101,141,157,160,0,12,106,87,0,12,20,24,0,12,29,45,57,65,0,12,436,207,129,101,152,94,0,12,72,128,83,134,0,12,144,87,80,70,47,43,0,12,0,12,17,34,0,12
450399603003,344,182,155,111,22,44,0,12,0,12,58,67,75,50,189,169,61,86,0,12,0,12,0,12,0,12,61,86,128,150,32,52,0,12,0,12,0,12,96,113,380,162,344,182,301,188,0,12,43,32,36,61,0,12,0,12,1482,370,1387,333,1228,336,390,126,128,95,262,106,246,98,556,188,513,190,0,12,43,32,36,61,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,159,90,159,90,107,91,107,91,0,12,52,42,52,42,0,12,0,12,0,12,0,12,0,12,0,12,0,12,95,105,228,94,159,78,127,75,86,50,17,26,69,53,41,48,0,12,0,12,0,12,0,12,32,26,32,26,0,12,0,12,0,12,32,26,32,26,0,12,0,12,69,50,1007,258,159,90,479,190,0,12,212,150,157,96,0,12,271,177,69,85,96,111,0,12,72,120,34,58,0,12,577,164,58,34,294,126,0,12,140,91,85,81,0,12,159,78,32,26,89,72,0,12,0,12,38,39,0,12
450399603004,367,182,314,190,4,7,5,12,2,3,205,175,98,93,53,50,22,37,0,12,0,12,0,12,22,37,0,12,31,32,11,13,0,12,0,12,20,23,0,12,454,188,367,182,321,184,0,12,46,66,53,60,34,50,0,12,2257,483,2132,489,1828,527,611,177,170,84,441,178,422,168,516,201,466,201,2,3,48,66,106,92,61,70,23,34,0,12,0,12,57,61,32,50,0,12,29,49,3,7,0,12,0,12,304,149,279,132,195,127,158,116,37,61,84,61,83,61,1,4,25,41,0,12,0,12,25,41,0,12,0,12,125,111,427,142,347,127,274,119,164,84,52,42,112,74,110,71,0,12,0,12,0,12,0,12,73,47,73,47,41,30,41,30,0,12,32,36,32,36,0,12,0,12,80,77,1678,358,241,129,843,314,68,102,149,117,348,189,29,49,223,138,0,12,36,43,5,10,131,116,51,49,0,12,1108,311,168,115,584,305,63,101,18,20,246,149,29,49,347,127,73,47,223,113,0,12,0,12,51,64,0,12
450399604001,224,147,204,145,30,51,0,12,19,29,93,109,62,73,20,34,0,12,0,12,0,12,0,12,0,12,0,12,20,34,0,12,0,12,0,12,0,12,20,34,253,165,224,147,211,135,0,12,13,22,0,12,0,12,29,46,962,320,921,316,743,328,167,78,79,55,88,52,132,75,256,150,243,137,0,12,13,22,49,51,49,55,0,12,37,61,0,12,24,38,29,46,0,12,0,12,0,12,29,46,0,12,178,91,178,91,123,87,123,87,0,12,55,42,55,42,0,12,0,12,0,12,0,12,0,12,0,12,0,12,41,86,138,68,128,60,59,36,38,27,27,24,11,19,21,26,0,12,0,12,0,12,0,12,69,53,69,53,50,51,50,51,0,12,19,28,19,28,0,12,0,12,10,21,668,216,178,91,248,140,0,12,32,52,210,172,0,12,87,82,0,12,38,62,0,12,0,12,49,51,0,12,453,198,109,81,171,117,0,12,32,52,141,128,0,12,128,60,69,53,39,37,0,12,0,12,20,24,0,12
