census_block_group,B12001e1,B12001m1,B12001e2,B12001m2,B12001e3,B12001m3,B12001e4,B12001m4,B12001e5,B12001m5,B12001e6,B12001m6,B12001e7,B12001m7,B12001e8,B12001m8,B12001e9,B12001m9,B12001e10,B12001m10,B12001e11,B12001m11,B12001e12,B12001m12,B12001e13,B12001m13,B12001e14,B12001m14,B12001e15,B12001m15,B12001e16,B12001m16,B12001e17,B12001m17,B12001e18,B12001m18,B12001e19,B12001m19
450399601001,928,175,434,112,183,85,192,57,138,45,54,36,41,37,13,16,16,17,43,29,494,114,215,88,168,54,137,48,31,28,16,19,15,25,72,44,39,24
450399601002,749,166,294,84,153,71,125,49,117,49,8,9,0,12,8,9,12,15,4,6,455,108,195,65,142,49,114,41,28,24,10,16,18,18,51,32,67,43
450399602001,888,237,367,128,89,79,207,81,206,81,1,4,0,12,1,4,7,11,64,56,521,174,239,147,214,82,214,82,0,12,0,12,0,12,62,60,6,10
450399602002,1086,222,578,137,192,88,282,80,257,79,25,29,25,29,0,12,28,29,76,50,508,139,159,86,258,92,248,78,10,41,0,12,10,41,26,33,65,61
450399602003,1289,293,783,197,253,135,419,137,302,98,117,96,66,75,51,54,6,10,105,130,506,145,66,51,354,119,305,103,49,46,16,18,33,41,47,37,39,43
450399603001,1017,223,498,123,59,65,374,93,374,93,0,12,0,12,0,12,22,26,43,38,519,127,15,25,418,125,392,117,26,41,0,12,26,41,72,57,14,30
450399603002,738,293,310,173,112,98,111,61,110,61,1,3,0,12,1,3,39,47,48,60,428,189,227,144,111,65,109,64,2,3,2,3,0,12,87,76,3,5
450399603003,1145,313,529,179,306,140,204,102,188,96,16,24,0,12,16,24,5,11,14,23,616,201,187,155,291,112,291,112,0,12,0,12,0,12,117,69,21,27
450399603004,1862,374,961,204,279,153,486,174,415,169,71,68,48,67,23,16,40,35,156,127,901,227,210,105,515,166,428,157,87,76,78,75,9,15,127,89,49,48
450399604001,762,237,466,157,263,132,179,75,129,74,50,51,0,12,50,51,9,15,15,25,296,134,56,41,156,114,119,70,37,61,37,61,0,12,36,39,48,56
450399604002,741,293,288,124,91,68,102,67,81,51,21,38,0,12,21,38,0,12,95,57,453,231,225,180,105,63,84,52,21,33,21,33,0,12,94,74,29,35
450399604003,589,247,273,111,116,101,125,69,110,69,15,25,15,25,0,12,10,18,22,36,316,174,112,96,94,59,94,59,0,12,0,12,0,12,82,79,28,43
450399604004,701,232,288,117,106,91,153,79,59,41,94,65,33,50,61,55,21,33,8,18,413,160,291,148,68,46,54,39,14,24,14,24,0,12,54,49,0,12
450399604005,1625,430,700,226,448,188,193,101,188,98,5,10,5,10,0,12,11,17,48,43,925,312,466,332,307,156,216,120,91,95,91,95,0,12,39,48,113,80
450399605001,1603,501,739,289,323,199,323,149,240,106,83,107,32,52,51,59,93,57,0,12,864,319,379,207,346,152,260,129,86,76,86,76,0,12,49,47,90,73
450399605002,1053,350,465,186,62,107,318,129,318,129,0,12,0,12,0,12,12,20,73,90,588,226,174,116,331,118,319,120,12,20,0,12,12,20,60,75,23,25
450399605003,1466,373,774,229,247,152,397,157,339,122,58,82,9,18,49,82,25,37,105,101,692,195,165,119,442,159,393,141,49,55,25,30,24,44,58,60,27,33
450399605004,993,393,415,190,128,124,258,119,234,114,24,37,0,12,24,37,0,12,29,36,578,267,313,204,242,124,242,124,0,12,0,12,0,12,0,12,23,37
