census_block_group,B15002e1,B15002m1,B15002e2,B15002m2,B15002e3,B15002m3,B15002e4,B15002m4,B15002e5,B15002m5,B15002e6,B15002m6,B15002e7,B15002m7,B15002e8,B15002m8,B15002e9,B15002m9,B15002e10,B15002m10,B15002e11,B15002m11,B15002e12,B15002m12,B15002e13,B15002m13,B15002e14,B15002m14,B15002e15,B15002m15,B15002e16,B15002m16,B15002e17,B15002m17,B15002e18,B15002m18,B15002e19,B15002m19,B15002e20,B15002m20,B15002e21,B15002m21,B15002e22,B15002m22,B15002e23,B15002m23,B15002e24,B15002m24,B15002e25,B15002m25,B15002e26,B15002m26,B15002e27,B15002m27,B15002e28,B15002m28,B15002e29,B15002m29,B15002e30,B15002m30,B15002e31,B15002m31,B15002e32,B15002m32,B15002e33,B15002m33,B15002e34,B15002m34,B15002e35,B15002m35,B15003e1,B15003m1,B15003e2,B15003m2,B15003e3,B15003m3,B15003e4,B15003m4,B15003e5,B15003m5,B15003e6,B15003m6,B15003e7,B15003m7,B15003e8,B15003m8,B15003e9,B15003m9,B15003e10,B15003m10,B15003e11,B15003m11,B15003e12,B15003m12,B15003e13,B15003m13,B15003e14,B15003m14,B15003e15,B15003m15,B15003e16,B15003m16,B15003e17,B15003m17,B15003e18,B15003m18,B15003e19,B15003m19,B15003e20,B15003m20,B15003e21,B15003m21,B15003e22,B15003m22,B15003e23,B15003m23,B15003e24,B15003m24,B15003e25,B15003m25,B15011e1,B15011m1,B15011e2,B15011m2,B15011e3,B15011m3,B15011e4,B15011m4,B15011e5,B15011m5,B15011e6,B15011m6,B15011e7,B15011m7,B15011e8,B15011m8,B15011e9,B15011m9,B15011e10,B15011m10,B15011e11,B15011m11,B15011e12,B15011m12,B15011e13,B15011m13,B15011e14,B15011m14,B15011e15,B15011m15,B15011e16,B15011m16,B15011e17,B15011m17,B15011e18,B15011m18,B15011e19,B15011m19,B15011e20,B15011m20,B15011e21,B15011m21,B15011e22,B15011m22,B15011e23,B15011m23,B15011e24,B15011m24,B15011e25,B15011m25,B15011e26,B15011m26,B15011e27,B15011m27,B15011e28,B15011m28,B15011e29,B15011m29,B15011e30,B15011m30,B15011e31,B15011m31,B15011e32,B15011m32,B15011e33,B15011m33,B15011e34,B15011m34,B15011e35,B15011m35,B15011e36,B15011m36,B15011e37,B15011m37,B15011e38,B15011m38,B15011e39,B15011m39,B15012e1,B15012m1,B15012e2,B15012m2,B15012e3,B15012m3,B15012e4,B15012m4,B15012e5,B15012m5,B15012e6,B15012m6,B15012e7,B15012m7,B15012e8,B15012m8,B15012e9,B15012m9,B15012e10,B15012m10,B15012e11,B15012m11,B15012e12,B15012m12,B15012e13,B15012m13,B15012e14,B15012m14,B15012e15,B15012m15,B15012e16,B15012m16,C15010e1,C15010m1,C15010e2,C15010m2,C15010e3,C15010m3,C15010e4,C15010m4,C15010e5,C15010m5,C15010e6,C15010m6,C15010Ae1,C15010Am1,C15010Ae2,C15010Am2,C15010Ae3,C15010Am3,C15010Ae4,C15010Am4,C15010Ae5,C15010Am5,C15010Ae6,C15010Am6,C15010Be1,C15010Bm1,C15010Be2,C15010Bm2,C15010Be3,C15010Bm3,C15010Be4,C15010Bm4,C15010Be5,C15010Bm5,C15010Be6,C15010Bm6,C15010Ce1,C15010Cm1,C15010Ce2,C15010Cm2,C15010Ce3,C15010Cm3,C15010Ce4,C15010Cm4,C15010Ce5,C15010Cm5,C15010Ce6,C15010Cm6,C15010De1,C15010Dm1,C15010De2,C15010Dm2,C15010De3,C15010Dm3,C15010De4,C15010Dm4,C15010De5,C15010Dm5,C15010De6,C15010Dm6,C15010Ee1,C15010Em1,C15010Ee2,C15010Em2,C15010Ee3,C15010Em3,C15010Ee4,C15010Em4,C15010Ee5,C15010Em5,C15010Ee6,C15010Em6,C15010Fe1,C15010Fm1,C15010Fe2,C15010Fm2,C15010Fe3,C15010Fm3,C15010Fe4,C15010Fm4,C15010Fe5,C15010Fm5,C15010Fe6,C15010Fm6,C15010Ge1,C15010Gm1,C15010Ge2,C15010Gm2,C15010Ge3,C15010Gm3,C15010Ge4,C15010Gm4,C15010Ge5,C15010Gm5,C15010Ge6,C15010Gm6,C15010He1,C15010Hm1,C15010He2,C15010Hm2,C15010He3,C15010Hm3,C15010He4,C15010Hm4,C15010He5,C15010Hm5,C15010He6,C15010Hm6,C15010Ie1,C15010Im1,C15010Ie2,C15010Im2,C15010Ie3,C15010Im3,C15010Ie4,C15010Im4,C15010Ie5,C15010Im5,C15010Ie6,C15010Im6
450399601001,781,148,388,99,9,14,1,2,1,2,0,12,0,12,14,15,32,29,18,18,199,76,29,21,39,29,15,17,25,19,2,4,0,12,4,6,393,90,0,12,5,11,0,12,0,12,14,22,35,39,0,12,0,12,181,65,44,38,53,37,39,25,15,15,7,9,0,12,0,12,781,148,9,14,0,12,0,12,0,12,1,2,5,11,0,12,0,12,1,2,0,12,0,12,14,22,49,41,32,29,18,18,348,109,32,41,73,50,92,47,54,30,40,25,9,10,0,12,4,6,53,28,31,21,5,10,0,12,0,12,0,12,0,12,5,10,14,15,10,14,0,12,2,3,0,12,2,4,12,11,4,6,5,8,3,5,0,12,0,12,22,18,2,4,0,12,0,12,0,12,0,12,2,4,5,9,0,12,0,12,5,9,0,12,0,12,15,15,7,9,0,12,0,12,8,11,0,12,53,28,0,12,0,12,0,12,0,12,17,17,4,6,0,12,5,8,10,10,8,11,0,12,5,10,2,4,0,12,2,4,53,28,21,18,5,8,10,10,8,11,9,12,18,14,4,6,0,12,5,6,0,12,9,12,35,24,17,17,5,8,5,9,8,11,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,18,14,4,6,0,12,5,6,0,12,9,12,0,12,0,12,0,12,0,12,0,12,0,12
450399601002,618,124,239,66,0,12,0,12,3,5,0,12,8,12,31,29,9,16,7,9,85,42,9,15,26,24,29,22,27,18,5,7,0,12,0,12,379,82,0,12,0,12,0,12,21,27,13,17,13,14,16,18,32,26,130,51,31,23,44,32,14,14,53,37,12,19,0,12,0,12,618,124,0,12,0,12,0,12,0,12,0,12,0,12,0,12,3,5,0,12,0,12,21,27,21,21,44,35,25,29,39,29,196,74,19,19,40,30,70,40,43,24,80,40,17,20,0,12,0,12,97,43,32,19,5,9,5,9,0,12,0,12,0,12,0,12,20,18,0,12,0,12,11,11,0,12,9,14,7,8,4,6,3,6,0,12,0,12,0,12,65,40,25,27,0,12,0,12,25,27,0,12,0,12,40,29,0,12,0,12,31,27,0,12,9,10,0,12,0,12,0,12,0,12,0,12,0,12,106,49,0,12,5,9,0,12,0,12,0,12,4,6,0,12,3,6,76,43,0,12,5,7,0,12,0,12,0,12,13,16,97,43,9,11,3,6,67,41,0,12,18,17,32,16,9,11,3,6,11,11,0,12,9,10,65,41,0,12,0,12,56,39,0,12,9,14,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,32,16,9,11,3,6,11,11,0,12,9,10,0,12,0,12,0,12,0,12,0,12,0,12
450399602001,688,161,312,83,0,12,0,12,0,12,0,12,0,12,16,22,27,41,1,4,199,84,13,14,15,24,10,18,16,25,9,14,0,12,6,10,376,111,18,29,0,12,0,12,0,12,0,12,0,12,0,12,26,41,223,85,0,12,18,27,0,12,37,40,54,44,0,12,0,12,688,161,18,29,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,16,22,27,41,27,41,409,139,13,23,13,14,33,34,10,18,53,61,63,48,0,12,6,10,122,78,31,30,16,25,0,12,0,12,0,12,0,12,16,25,9,14,0,12,0,12,0,12,0,12,9,14,6,10,6,10,0,12,0,12,0,12,0,12,91,60,48,48,0,12,21,32,27,38,0,12,0,12,43,35,19,21,0,12,11,19,13,18,0,12,0,12,0,12,0,12,0,12,0,12,0,12,122,78,19,21,0,12,0,12,6,10,0,12,0,12,0,12,21,32,38,42,13,18,0,12,9,14,0,12,0,12,16,25,122,78,25,24,21,32,38,42,13,18,25,29,79,67,13,13,21,32,11,19,9,15,25,29,16,23,12,19,0,12,0,12,4,11,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,27,38,0,12,0,12,27,38,0,12,0,12,79,67,13,13,21,32,11,19,9,15,25,29,0,12,0,12,0,12,0,12,0,12,0,12
450399602002,886,198,499,108,29,37,0,12,14,20,19,19,2,6,22,26,5,9,0,12,202,78,52,47,16,19,61,52,47,39,30,32,0,12,0,12,387,117,15,23,0,12,0,12,23,33,0,12,41,33,7,11,8,14,98,81,37,40,31,29,46,26,51,39,0,12,21,34,9,14,886,198,44,43,0,12,0,12,0,12,0,12,0,12,0,12,14,20,0,12,4,7,38,35,2,6,63,53,12,13,8,14,260,109,40,29,89,63,47,33,107,59,98,58,30,32,21,34,9,14,158,88,77,45,0,12,0,12,0,12,0,12,0,12,0,12,60,48,0,12,0,12,37,34,0,12,23,35,17,22,0,12,6,11,0,12,11,19,0,12,81,50,13,19,13,19,0,12,0,12,0,12,0,12,68,47,21,34,5,8,9,15,18,20,15,24,0,12,0,12,0,12,0,12,0,12,0,12,184,103,21,34,0,12,0,12,13,19,13,19,0,12,0,12,11,13,46,43,29,27,0,12,23,35,15,24,0,12,13,19,158,88,34,38,11,13,46,43,29,27,38,41,103,65,13,19,0,12,46,43,29,27,15,24,55,65,21,34,11,13,0,12,0,12,23,35,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,103,65,13,19,0,12,46,43,29,27,15,24,0,12,0,12,0,12,0,12,0,12,0,12
450399602003,1211,280,727,195,0,12,0,12,4,9,0,12,11,18,0,12,25,21,30,31,424,177,48,37,48,43,10,15,60,55,67,74,0,12,0,12,484,131,19,30,0,12,0,12,6,10,0,12,24,37,0,12,6,9,187,80,13,21,74,75,26,27,81,60,48,34,0,12,0,12,1211,280,19,30,0,12,0,12,0,12,0,12,0,12,0,12,0,12,4,9,0,12,6,10,11,18,24,37,25,21,36,32,573,203,38,29,61,52,122,72,36,32,141,99,115,87,0,12,0,12,256,167,127,108,48,67,39,62,0,12,9,17,0,12,0,12,79,62,31,37,0,12,27,42,4,7,17,21,0,12,0,12,0,12,0,12,0,12,0,12,129,72,67,50,8,16,13,22,46,43,0,12,0,12,42,40,0,12,0,12,0,12,13,17,29,36,20,16,0,12,8,12,0,12,12,15,0,12,308,204,39,62,0,12,14,27,27,34,25,36,19,31,0,12,21,24,82,72,29,27,6,17,0,12,12,18,7,12,27,34,256,167,78,80,21,24,82,72,29,27,46,44,139,85,31,37,8,12,46,43,29,27,25,27,90,107,47,66,13,22,9,17,0,12,21,32,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,27,42,0,12,0,12,27,42,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,139,85,31,37,8,12,46,43,29,27,25,27,0,12,0,12,0,12,0,12,0,12,0,12
450399603001,966,202,462,97,0,12,0,12,0,12,17,27,0,12,17,28,16,26,0,12,84,52,47,43,54,42,59,48,87,55,63,54,18,28,0,12,504,122,0,12,0,12,0,12,0,12,0,12,10,16,30,35,0,12,54,39,95,64,30,30,48,56,131,78,106,71,0,12,0,12,966,202,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,17,27,0,12,27,33,46,55,0,12,116,67,22,26,142,80,84,51,107,73,218,109,169,96,18,28,0,12,405,172,168,82,0,12,0,12,0,12,0,12,0,12,0,12,123,71,11,18,0,12,30,33,0,12,82,62,45,41,18,28,0,12,27,30,0,12,0,12,237,110,16,25,0,12,0,12,0,12,0,12,16,25,178,95,51,48,18,29,38,50,26,41,45,42,43,41,0,12,11,20,0,12,15,24,17,26,405,172,20,32,13,22,0,12,11,18,18,28,18,30,0,12,29,36,95,68,41,48,16,25,28,33,0,12,42,36,74,61,405,172,80,61,29,36,95,68,41,48,160,82,405,172,80,61,29,36,95,68,41,48,160,82,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,405,172,80,61,29,36,95,68,41,48,160,82,0,12,0,12,0,12,0,12,0,12,0,12
450399603002,644,233,278,156,0,12,1,4,0,12,0,12,15,23,33,55,0,12,19,25,142,110,8,13,3,5,16,21,40,35,0,12,1,3,0,12,366,138,2,4,4,8,0,12,21,32,0,12,1,3,0,12,60,87,153,118,47,59,32,30,7,7,10,10,24,36,0,12,5,8,644,233,2,4,0,12,0,12,1,4,0,12,4,8,0,12,0,12,0,12,0,12,21,32,15,23,34,55,0,12,79,90,230,193,65,64,55,61,35,30,23,23,50,38,24,36,1,3,5,8,80,52,41,35,5,7,1,2,0,12,4,6,0,12,0,12,12,17,8,15,2,3,1,3,0,12,1,3,24,32,24,32,0,12,0,12,0,12,0,12,39,39,9,10,0,12,0,12,5,8,3,5,1,2,25,37,0,12,1,3,13,24,11,20,0,12,5,8,0,12,0,12,0,12,5,8,0,12,80,52,27,33,1,2,0,12,0,12,5,9,0,12,0,12,3,5,23,27,19,22,0,12,1,3,1,2,0,12,0,12,80,52,33,34,3,5,23,27,19,22,2,4,72,52,25,32,3,5,23,27,19,22,2,4,8,15,8,15,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,72,52,25,32,3,5,23,27,19,22,2,4,0,12,0,12,0,12,0,12,0,12,0,12
450399603003,1062,287,486,171,0,12,0,12,5,11,47,49,0,12,0,12,0,12,109,108,233,143,0,12,11,17,50,62,26,31,0,12,0,12,5,10,576,169,6,11,0,12,12,23,26,34,5,12,0,12,5,11,20,29,242,125,60,38,64,54,115,77,0,12,0,12,21,32,0,12,1062,287,6,11,0,12,0,12,0,12,0,12,0,12,0,12,0,12,17,26,5,12,68,57,5,12,0,12,5,11,129,112,423,156,52,65,60,38,75,56,165,121,26,31,0,12,21,32,5,10,52,46,31,32,0,12,0,12,0,12,0,12,0,12,0,12,26,31,13,21,0,12,13,22,0,12,0,12,5,10,0,12,0,12,0,12,0,12,5,10,21,32,0,12,0,12,0,12,0,12,0,12,0,12,21,32,21,32,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,73,73,0,12,0,12,0,12,0,12,21,32,0,12,13,21,0,12,13,22,0,12,0,12,5,10,0,12,0,12,21,32,52,46,34,40,0,12,13,22,0,12,5,10,18,23,13,21,0,12,0,12,0,12,5,10,34,38,21,32,0,12,13,22,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,18,23,13,21,0,12,0,12,0,12,5,10,0,12,0,12,0,12,0,12,0,12,0,12
450399603004,1709,337,842,189,27,31,0,12,11,17,24,21,46,62,50,41,7,15,20,31,275,143,6,9,53,46,127,99,85,57,3,5,6,8,102,119,867,219,49,63,0,12,0,12,19,33,0,12,2,3,0,12,35,44,292,115,53,54,200,119,106,80,103,86,7,8,1,4,0,12,1709,337,76,73,0,12,0,12,0,12,0,12,0,12,0,12,0,12,11,17,24,23,19,32,46,62,52,41,7,15,55,55,493,204,74,81,59,56,253,124,233,131,188,100,10,10,7,9,102,119,307,153,196,129,6,8,0,12,0,12,0,12,2,4,4,7,125,120,44,45,0,12,2,3,78,113,1,4,65,51,9,14,3,5,26,29,0,12,27,30,111,86,4,6,1,3,0,12,1,2,2,5,0,12,97,84,18,22,60,73,0,12,2,4,17,28,10,15,0,12,0,12,1,3,0,12,9,14,332,161,25,35,5,8,0,12,2,4,30,28,21,29,0,12,63,73,30,29,84,113,15,20,38,32,0,12,17,28,2,3,307,153,72,60,63,73,30,29,84,113,58,41,116,64,36,37,5,6,28,29,4,6,43,36,164,119,9,14,58,73,2,3,80,113,15,25,0,12,0,12,0,12,0,12,0,12,0,12,27,47,27,47,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,116,64,36,37,5,6,28,29,4,6,43,36,0,12,0,12,0,12,0,12,0,12,0,12
450399604001,709,221,426,144,0,12,0,12,10,21,9,15,7,11,104,87,12,21,40,61,91,70,42,53,88,67,0,12,23,37,0,12,0,12,0,12,283,131,0,12,0,12,0,12,0,12,39,50,12,21,0,12,14,24,82,50,14,24,15,25,37,61,70,61,0,12,0,12,0,12,709,221,0,12,0,12,0,12,0,12,0,12,0,12,0,12,10,21,0,12,0,12,9,15,46,56,116,80,12,21,54,66,119,83,54,48,56,59,103,81,37,61,93,83,0,12,0,12,0,12,93,83,23,37,23,37,0,12,0,12,0,12,0,12,23,37,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,70,61,15,27,15,27,0,12,0,12,0,12,0,12,55,55,0,12,0,12,36,43,0,12,19,33,0,12,0,12,0,12,0,12,0,12,0,12,93,83,0,12,0,12,0,12,15,27,0,12,0,12,0,12,0,12,36,43,0,12,0,12,0,12,0,12,0,12,42,49,93,83,15,27,0,12,36,43,0,12,42,49,56,69,15,27,0,12,18,32,0,12,23,37,37,42,0,12,0,12,18,29,0,12,19,33,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,56,69,15,27,0,12,18,32,0,12,23,37,0,12,0,12,0,12,0,12,0,12,0,12
