census_block_group,B19001e1,B19001m1,B19001e2,B19001m2,B19001e3,B19001m3,B19001e4,B19001m4,B19001e5,B19001m5,B19001e6,B19001m6,B19001e7,B19001m7,B19001e8,B19001m8,B19001e9,B19001m9,B19001e10,B19001m10,B19001e11,B19001m11,B19001e12,B19001m12,B19001e13,B19001m13,B19001e14,B19001m14,B19001e15,B19001m15,B19001e16,B19001m16,B19001e17,B19001m17,B19013e1,B19013m1,B19025e1,B19025m1,B19025Ae1,B19025Am1,B19025Be1,B19025Bm1,B19025Ce1,B19025Cm1,B19025De1,B19025Dm1,B19025Ee1,B19025Em1,B19025Fe1,B19025Fm1,B19025Ge1,B19025Gm1,B19025He1,B19025Hm1,B19025Ie1,B19025Im1,B19037e1,B19037m1,B19037e2,B19037m2,B19037e3,B19037m3,B19037e4,B19037m4,B19037e5,B19037m5,B19037e6,B19037m6,B19037e7,B19037m7,B19037e8,B19037m8,B19037e9,B19037m9,B19037e10,B19037m10,B19037e11,B19037m11,B19037e12,B19037m12,B19037e13,B19037m13,B19037e14,B19037m14,B19037e15,B19037m15,B19037e16,B19037m16,B19037e17,B19037m17,B19037e18,B19037m18,B19037e19,B19037m19,B19037e20,B19037m20,B19037e21,B19037m21,B19037e22,B19037m22,B19037e23,B19037m23,B19037e24,B19037m24,B19037e25,B19037m25,B19037e26,B19037m26,B19037e27,B19037m27,B19037e28,B19037m28,B19037e29,B19037m29,B19037e30,B19037m30,B19037e31,B19037m31,B19037e32,B19037m32,B19037e33,B19037m33,B19037e34,B19037m34,B19037e35,B19037m35,B19037e36,B19037m36,B19037e37,B19037m37,B19037e38,B19037m38,B19037e39,B19037m39,B19037e40,B19037m40,B19037e41,B19037m41,B19037e42,B19037m42,B19037e43,B19037m43,B19037e44,B19037m44,B19037e45,B19037m45,B19037e46,B19037m46,B19037e47,B19037m47,B19037e48,B19037m48,B19037e49,B19037m49,B19037e50,B19037m50,B19037e51,B19037m51,B19037e52,B19037m52,B19037e53,B19037m53,B19037e54,B19037m54,B19037e55,B19037m55,B19037e56,B19037m56,B19037e57,B19037m57,B19037e58,B19037m58,B19037e59,B19037m59,B19037e60,B19037m60,B19037e61,B19037m61,B19037e62,B19037m62,B19037e63,B19037m63,B19037e64,B19037m64,B19037e65,B19037m65,B19037e66,B19037m66,B19037e67,B19037m67,B19037e68,B19037m68,B19037e69,B19037m69,B19049e1,B19049m1,B19049e2,B19049m2,B19049e3,B19049m3,B19049e4,B19049m4,B19049e5,B19049m5,B19050e1,B19050m1,B19050e2,B19050m2,B19050e3,B19050m3,B19050e4,B19050m4,B19050e5,B19050m5,B19051e1,B19051m1,B19051e2,B19051m2,B19051e3,B19051m3,B19052e1,B19052m1,B19052e2,B19052m2,B19052e3,B19052m3,B19053e1,B19053m1,B19053e2,B19053m2,B19053e3,B19053m3,B19054e1,B19054m1,B19054e2,B19054m2,B19054e3,B19054m3,B19055e1,B19055m1,B19055e2,B19055m2,B19055e3,B19055m3,B19056e1,B19056m1,B19056e2,B19056m2,B19056e3,B19056m3,B19057e1,B19057m1,B19057e2,B19057m2,B19057e3,B19057m3,B19059e1,B19059m1,B19059e2,B19059m2,B19059e3,B19059m3,B19060e1,B19060m1,B19060e2,B19060m2,B19060e3,B19060m3,B19061e1,B19061m1,B19062e1,B19062m1,B19063e1,B19063m1,B19064e1,B19064m1,B19065e1,B19065m1,B19066e1,B19066m1,B19067e1,B19067m1,B19069e1,B19069m1,B19070e1,B19070m1,B19101e1,B19101m1,B19101e2,B19101m2,B19101e3,B19101m3,B19101e4,B19101m4,B19101e5,B19101m5,B19101e6,B19101m6,B19101e7,B19101m7,B19101e8,B19101m8,B19101e9,B19101m9,B19101e10,B19101m10,B19101e11,B19101m11,B19101e12,B19101m12,B19101e13,B19101m13,B19101e14,B19101m14,B19101e15,B19101m15,B19101e16,B19101m16,B19101e17,B19101m17,B19127e1,B19127m1,B19201e1,B19201m1,B19201e2,B19201m2,B19201e3,B19201m3,B19201e4,B19201m4,B19201e5,B19201m5,B19201e6,B19201m6,B19201e7,B19201m7,B19201e8,B19201m8,B19201e9,B19201m9,B19201e10,B19201m10,B19201e11,B19201m11,B19201e12,B19201m12,B19201e13,B19201m13,B19201e14,B19201m14,B19201e15,B19201m15,B19201e16,B19201m16,B19201e17,B19201m17,B19202e1,B19202m1,B19214e1,B19214m1,B19301e1,B19301m1,B19301Ae1,B19301Am1,B19301Be1,B19301Bm1,B19301Ce1,B19301Cm1,B19301De1,B19301Dm1,B19301Ee1,B19301Em1,B19301Fe1,B19301Fm1,B19301Ge1,B19301Gm1,B19301He1,B19301Hm1,B19301Ie1,B19301Im1,B19313e1,B19313m1,B19313Ae1,B19313Am1,B19313Be1,B19313Bm1,B19313Ce1,B19313Cm1,B19313De1,B19313Dm1,B19313Ee1,B19313Em1,B19313Fe1,B19313Fm1,B19313Ge1,B19313Gm1,B19313He1,B19313Hm1,B19313Ie1,B19313Im1
450399601001,438,86,97,62,45,26,17,15,30,20,33,28,24,21,20,26,24,17,27,18,14,14,53,35,6,7,25,25,23,21,0,12,0,12,29250,9958,17278200,4498546,2333500,1663376,14944700,4078987,,,,,,,,,,,2333500,1663376,,,438,86,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,105,45,26,27,9,14,0,12,4,6,24,23,0,12,15,25,7,11,11,14,0,12,7,11,2,4,0,12,0,12,0,12,0,12,206,60,33,32,8,12,14,14,26,19,0,12,12,17,5,7,12,13,6,9,8,10,39,33,0,12,25,25,18,19,0,12,0,12,127,49,38,40,28,24,3,5,0,12,9,14,12,13,0,12,5,7,10,11,6,8,7,9,4,6,0,12,5,8,0,12,0,12,29250,9958,,,27411,11584,41042,19137,,,17278200,4498546,,,2820900,1396326,10619500,4068812,3837900,1722841,438,86,275,66,163,67,438,86,273,65,165,67,438,86,2,4,436,86,438,86,25,21,413,87,438,86,129,51,309,72,438,86,12,13,426,86,438,86,5,7,433,86,438,86,54,27,384,89,438,86,28,22,410,86,13910200,4374530,13808800,4352224,,,107100,135504,1889000,714296,,,,,1018100,657722,262400,258582,251,53,47,34,17,18,9,12,9,10,28,26,4,7,0,12,21,17,25,17,2,4,39,33,2,4,25,25,23,21,0,12,0,12,12444400,4068301,187,70,57,52,28,24,8,9,14,15,5,10,20,20,20,26,3,7,8,10,6,9,14,14,4,6,0,12,0,12,0,12,0,12,20208,13686,4723900,1807539,16854,3182,20347,5781,16782,3382,,,,,,,,,,,20448,5809,15333,14213,18556700,4694481,2258500,1499712,16261600,4450804,,,,,,,,,,,2228800,1499421,46000,66311
450399601002,375,80,32,28,53,33,23,22,14,16,16,17,19,14,31,23,20,18,42,26,35,24,31,24,44,35,12,13,0,12,0,12,3,6,39931,6852,16396100,4496559,4924900,2329710,11377600,3856869,,,,,,,,,,,4924900,2329710,,,375,80,10,18,0,12,10,18,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,71,40,0,12,0,12,10,16,0,12,8,13,6,9,0,12,6,11,9,13,19,18,0,12,13,20,0,12,0,12,0,12,0,12,159,51,15,16,20,18,0,12,8,13,3,6,4,6,25,23,6,9,22,22,9,15,26,22,17,16,4,7,0,12,0,12,0,12,135,50,17,23,23,23,13,17,6,10,5,8,9,9,6,9,8,11,11,15,7,10,5,7,14,19,8,12,0,12,0,12,3,6,39931,6852,,,49028,16151,41875,9567,32708,19748,,,,,,,,,,,375,80,281,78,94,46,375,80,280,77,95,46,375,80,35,28,340,76,375,80,8,12,367,81,375,80,170,54,205,66,375,80,10,16,365,79,375,80,5,8,370,80,375,80,72,32,303,77,375,80,24,21,351,77,12003800,3933387,11819000,3912686,184900,214165,,,2506900,725718,,,,,1268800,747310,549600,430682,224,61,0,12,19,20,7,13,13,16,13,16,13,12,31,23,33,27,20,20,26,19,20,20,17,20,12,13,0,12,0,12,0,12,10406700,3308823,151,53,32,28,34,26,23,22,1,4,3,6,6,7,0,12,0,12,15,17,9,15,11,12,14,16,0,12,0,12,0,12,3,6,16033,9933,5257900,2734519,19675,3799,37514,16511,16574,3322,,,,,,,,,,,37514,16511,,,18317300,4653318,5251900,2361877,13060300,4033400,,,,,,,,,,,5251900,2361877,,
450399602001,353,89,28,43,25,31,0,12,27,38,4,11,54,55,18,29,0,12,27,41,46,49,1,4,38,35,64,54,0,12,0,12,21,32,46898,12798,23084700,9169603,9637900,9009347,10658200,5998310,,,,,,,,,,,9637900,9009347,,,353,89,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,35,40,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,14,24,0,12,0,12,21,32,249,83,28,43,25,31,0,12,0,12,4,11,50,55,0,12,0,12,27,41,39,48,0,12,38,35,38,48,0,12,0,12,0,12,69,48,0,12,0,12,0,12,27,38,0,12,4,12,18,29,0,12,0,12,7,11,1,4,0,12,12,10,0,12,0,12,0,12,46898,12798,,,,,46620,15968,37986,24595,,,,,,,,,,,353,89,276,87,77,61,353,89,269,87,84,61,353,89,16,17,337,90,353,89,12,10,341,89,353,89,86,56,267,86,353,89,31,35,322,87,353,89,0,12,353,89,353,89,67,48,286,88,353,89,21,26,332,90,18462400,8743571,18266900,8756252,,,,,1492700,927568,,,,,1891200,1117601,,,262,85,0,12,12,23,0,12,27,38,35,47,4,12,18,29,27,41,0,12,46,49,1,4,38,35,33,28,0,12,0,12,21,32,18598400,9459138,91,68,28,43,13,21,0,12,0,12,0,12,50,55,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,,,1839200,1858286,24341,7603,61599,38379,18120,6520,,,,,,,,,17131,4814,61599,38379,,,24706100,9094530,9178300,8130106,12684000,7238325,,,,,,,,,2843800,3033685,9178300,8130106,,
450399602002,543,110,117,75,26,23,36,25,56,67,34,37,13,17,12,19,71,52,11,14,32,27,26,25,48,43,15,19,18,21,9,14,19,29,30481,16839,27892300,11303235,22583000,10771079,5309300,3498255,,,,,,,,,,,22583000,10771079,,,543,110,44,64,0,12,0,12,0,12,44,64,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,149,71,82,71,13,19,15,23,0,12,0,12,0,12,0,12,33,36,0,12,0,12,6,11,0,12,0,12,0,12,0,12,0,12,211,71,28,27,0,12,0,12,8,14,0,12,0,12,12,19,26,34,11,14,19,20,0,12,48,43,13,17,18,21,9,14,19,29,139,54,7,12,13,14,21,23,4,7,34,37,13,17,0,12,12,14,0,12,13,19,20,22,0,12,2,6,0,12,0,12,0,12,30481,16839,,,2499,,80234,64331,29301,2853,,,,,,,,,,,543,110,301,93,242,89,543,110,295,93,248,90,543,110,21,22,522,113,543,110,137,55,406,115,543,110,176,63,367,114,543,110,83,53,460,111,543,110,7,11,536,111,543,110,117,50,426,117,543,110,19,21,524,112,22014000,11322733,21900300,11318688,113700,150008,278400,149798,3194200,1256976,751200,545486,,,1568000,977582,,,385,95,30,30,0,12,15,23,56,67,34,37,13,17,12,19,56,43,11,14,32,27,26,25,48,43,6,10,18,21,9,14,19,29,25614900,11230154,158,84,87,72,26,23,21,23,0,12,0,12,0,12,0,12,15,27,0,12,0,12,0,12,0,12,9,14,0,12,0,12,0,12,2499,,2277400,1893440,22787,8997,27715,12249,16010,11424,,,,,,,,,,,27715,12249,,,28711200,11136265,23363800,10504427,5347400,3611936,,,,,,,,,,,23363800,10504427,,
450399602003,549,121,76,80,50,43,17,22,11,15,15,18,55,68,9,16,39,33,10,16,58,43,60,59,44,31,30,33,41,38,34,43,0,12,48125,20114,31608800,12199467,13378600,5498284,13125900,6466183,,,,,,,,,,,13378600,5498284,,,549,121,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,156,77,0,12,15,23,0,12,0,12,0,12,0,12,9,16,0,12,0,12,28,32,32,51,14,19,25,32,6,12,27,42,0,12,285,98,76,80,29,33,13,24,0,12,7,12,47,66,0,12,25,29,0,12,20,27,15,24,13,21,5,8,35,42,0,12,0,12,108,40,0,12,6,10,4,8,11,15,8,13,8,12,0,12,14,17,10,16,10,12,13,12,17,20,0,12,0,12,7,10,0,12,48125,20114,,,62031,59661,30931,16936,48250,15098,31608800,12199467,,,13947300,8573617,11790500,5882172,5871000,2557459,549,121,391,115,158,88,549,121,391,115,158,88,549,121,6,17,543,120,549,121,51,38,498,119,549,121,225,86,324,136,549,121,23,31,526,122,549,121,76,80,473,116,549,121,105,57,444,110,549,121,49,38,500,119,25552900,11968370,25543500,11966701,,,635600,627142,3165300,1272089,,,,,1265900,678794,835600,643762,381,104,0,12,44,41,0,12,10,19,8,13,55,68,9,16,33,31,10,16,48,41,28,27,31,28,30,33,41,38,34,43,0,12,27208900,11864114,168,98,76,80,6,10,17,22,11,15,7,12,0,12,0,12,6,10,0,12,0,12,32,51,13,21,0,12,0,12,0,12,0,12,,,4095800,3553139,21869,5554,25822,6392,18277,7046,,,,,,,,,,,25822,6392,,,32082300,10689004,15983700,5643626,14054900,6950693,,,,,,,,,,,15983700,5643626,,
450399603001,535,109,0,12,17,27,32,32,27,30,20,24,0,12,26,29,12,21,46,42,58,48,69,49,59,50,0,12,91,69,47,37,31,35,68902,17605,49245000,16035704,44716700,14523744,4528200,6123500,,,,,,,,,,,43565300,14551661,,,535,109,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,78,59,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,14,24,13,20,0,12,38,50,13,20,0,12,234,86,0,12,0,12,0,12,11,18,13,19,0,12,15,23,12,21,36,38,17,26,33,36,34,43,0,12,13,22,34,39,16,26,223,74,0,12,17,27,32,32,16,26,7,13,0,12,11,17,0,12,10,17,41,39,22,25,12,19,0,12,40,38,0,12,15,23,68902,17605,,,128289,58710,68485,25424,52868,9894,49245000,16035704,,,9311700,7397440,23723900,12513939,16209400,8344248,535,109,352,109,183,63,535,109,352,109,183,63,535,109,33,36,502,109,535,109,184,71,351,115,535,109,241,67,294,95,535,109,0,12,535,109,535,109,0,12,535,109,535,109,209,79,326,99,535,109,59,38,476,107,34030700,14127813,33895400,14134156,,,1204400,840262,5129800,1609784,,,,,7895900,5797677,984100,818344,410,99,0,12,0,12,19,27,16,26,7,13,0,12,15,23,0,12,27,31,58,48,54,44,45,39,0,12,91,69,47,37,31,35,44094300,16088426,125,68,0,12,17,27,13,21,11,18,13,19,0,12,11,17,12,21,19,30,0,12,15,24,14,30,0,12,0,12,0,12,0,12,39432,24275,5150700,3490873,48291,11358,45442,10221,92013,63887,,,,,,,,,,,44909,10306,,,50512400,17376928,44623600,14806201,5888800,8343122,,,,,,,,,,,43472100,14784321,,
450399603002,384,128,64,57,111,104,39,45,5,9,4,5,1,2,0,12,57,63,17,34,17,21,24,31,2,4,16,18,14,20,13,24,0,12,,,13998200,6582076,9829900,6622609,4168300,2520023,,,,,,,,,,,9829900,6622609,,,384,128,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,134,110,26,41,60,87,0,12,0,12,3,5,1,2,0,12,33,47,0,12,0,12,3,4,0,12,8,13,0,12,0,12,0,12,126,66,38,37,0,12,23,32,0,12,0,12,0,12,0,12,24,40,0,12,4,5,0,12,2,4,8,13,14,20,13,24,0,12,124,82,0,12,51,59,16,24,5,9,1,2,0,12,0,12,0,12,17,34,13,21,21,31,0,12,0,12,0,12,0,12,0,12,,,,,,,,,,,13998200,6582076,,,3226700,2601895,6863000,5744907,3908500,2945379,384,128,244,110,140,80,384,128,242,110,142,80,384,128,14,21,370,130,384,128,47,39,337,129,384,128,130,69,254,117,384,128,19,31,365,130,384,128,0,12,384,128,384,128,74,69,310,128,384,128,56,53,328,125,9212500,5317245,9135600,5309826,76900,174655,314000,445149,2466300,1677198,,,,,832800,829948,1132000,1210061,175,98,42,50,0,12,0,12,5,9,3,5,1,2,0,12,33,47,17,34,5,5,24,31,2,4,16,18,14,20,13,24,0,12,10397900,6919321,209,121,22,27,111,104,39,45,0,12,1,2,0,12,0,12,24,40,0,12,12,21,0,12,0,12,0,12,0,12,0,12,0,12,13603,2728,3600400,2202670,16302,5562,22864,10224,10609,5010,,,,,,,,,,,22864,10224,,,14509100,6917647,9465600,6457888,5039100,3306575,,,,,,,,,,,9465600,6457888,,
450399603003,549,143,141,98,0,12,76,49,48,63,0,12,85,48,27,32,22,33,0,12,65,85,24,31,61,56,0,12,0,12,0,12,0,12,30625,17700,17376600,6514588,5298500,2426565,12078200,6311074,,,,,,,,,,,5298500,2426565,,,549,143,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,153,118,41,57,0,12,17,27,34,58,0,12,0,12,0,12,0,12,0,12,52,81,9,18,0,12,0,12,0,12,0,12,0,12,278,100,72,71,0,12,27,44,14,23,0,12,67,41,0,12,22,33,0,12,13,22,15,27,48,51,0,12,0,12,0,12,0,12,118,56,28,41,0,12,32,26,0,12,0,12,18,30,27,32,0,12,0,12,0,12,0,12,13,19,0,12,0,12,0,12,0,12,30625,17700,,,,,32819,11894,,,17376600,6514588,,,4262000,4282725,9672200,4788114,3442400,2170608,549,143,404,134,145,89,549,143,367,124,182,103,549,143,37,57,512,135,549,143,79,85,470,119,549,143,186,85,363,138,549,143,26,31,523,143,549,143,0,12,549,143,549,143,75,49,474,134,549,143,0,12,549,143,13046800,6298535,12990900,6297006,,,39300,56104,3671900,1798535,,,,,438200,355832,,,390,126,130,98,0,12,27,44,34,58,0,12,65,44,27,32,22,33,0,12,0,12,24,31,61,56,0,12,0,12,0,12,0,12,12309700,5062098,159,90,11,17,0,12,49,29,14,23,0,12,20,29,0,12,0,12,0,12,65,85,0,12,0,12,0,12,0,12,0,12,0,12,,,5066900,4237900,13440,3900,10785,4212,15297,5848,,,,,,,,,,,10785,4212,,,19918300,7126645,6579100,2818286,13339300,6795927,,,,,,,,,,,6579100,2818286,,
450399603004,890,177,165,103,20,29,21,20,112,115,113,102,47,47,63,68,42,40,18,22,32,39,36,30,159,117,27,32,17,22,18,27,0,12,31346,9765,38101800,11997690,16250200,6499894,18646600,8867621,,,,,,,,,,,16250200,6499894,,,890,177,2,4,2,4,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,83,65,0,12,0,12,7,12,0,12,0,12,11,21,16,35,23,27,0,12,2,3,2,4,2,5,4,6,0,12,16,27,0,12,568,175,135,104,10,17,0,12,101,115,71,74,36,42,5,10,1,4,5,6,30,39,8,13,129,110,18,29,17,22,2,3,0,12,237,97,28,27,10,23,14,16,11,17,42,63,0,12,42,56,18,27,13,21,0,12,26,29,28,38,5,6,0,12,0,12,0,12,31346,9765,,,43315,8498,28821,14380,35804,11454,,,,,,,,,,,890,177,524,150,366,129,890,177,496,146,394,130,890,177,39,38,851,177,890,177,151,119,739,168,890,177,310,105,580,173,890,177,80,102,810,175,890,177,70,97,820,170,890,177,241,121,649,168,890,177,173,87,717,183,26228300,10371641,25601900,10416991,626500,613783,1130200,1417223,4960800,1977754,490200,607349,,,3091700,1717671,2127300,1661284,611,177,101,93,5,10,18,19,63,97,101,102,47,47,53,52,33,35,18,22,29,39,26,29,58,50,24,31,17,22,18,27,0,12,26574100,8761788,279,132,64,56,15,27,3,4,51,61,12,19,0,12,19,31,0,12,0,12,3,4,8,13,101,115,3,4,0,12,0,12,0,12,,,11384900,8783109,17990,4761,22071,7314,16675,6501,,,37736,9956,,,,,,,22071,7314,,,40603600,11798828,17789000,6558282,20393700,8405783,,,1698100,2956894,,,,,,,17789000,6558282,,
450399604001,345,99,19,27,12,19,75,59,61,63,28,31,15,25,0,12,0,12,31,36,0,12,68,57,0,12,19,33,0,12,17,30,0,12,26250,16985,15618700,7860313,10189300,6723786,5243200,4515996,,,,,,,,,,,10189300,6723786,,,345,99,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,87,63,0,12,12,19,0,12,0,12,0,12,15,25,0,12,0,12,20,30,0,12,23,37,0,12,0,12,0,12,17,30,0,12,151,84,14,24,0,12,18,29,38,58,17,27,0,12,0,12,0,12,0,12,0,12,45,43,0,12,19,33,0,12,0,12,0,12,107,58,5,11,0,12,57,53,23,29,11,20,0,12,0,12,0,12,11,19,0,12,0,12,0,12,0,12,0,12,0,12,0,12,26250,16985,,,,,,,17425,5892,15618700,7860313,,,6574400,6459920,6832800,4891655,2211500,1233239,345,99,231,91,114,83,345,99,210,88,135,86,345,99,40,43,305,97,345,99,17,30,328,99,345,99,168,81,177,78,345,99,25,30,320,105,345,99,0,12,345,99,345,99,87,79,258,88,345,99,98,62,247,96,10901100,6347314,10533200,6277947,367900,380712,,,2701900,1581900,,,,,888100,968826,832000,1078089,167,78,14,24,12,19,7,11,9,15,28,31,15,25,0,12,0,12,11,19,0,12,35,42,0,12,19,33,0,12,17,30,0,12,10264500,7797125,178,91,5,11,0,12,68,57,52,63,0,12,0,12,0,12,0,12,20,30,0,12,33,38,0,12,0,12,0,12,0,12,0,12,22632,7196,5354200,3236036,18052,7322,16922,8365,20888,13566,,,,,,,,,,,16922,8365,,,17365800,8571738,11168800,6850416,6120300,5452103,,,,,,,,,,,11168800,6850416,,
