census_block_group,B20001e1,B20001m1,B20001e2,B20001m2,B20001e3,B20001m3,B20001e4,B20001m4,B20001e5,B20001m5,B20001e6,B20001m6,B20001e7,B20001m7,B20001e8,B20001m8,B20001e9,B20001m9,B20001e10,B20001m10,B20001e11,B20001m11,B20001e12,B20001m12,B20001e13,B20001m13,B20001e14,B20001m14,B20001e15,B20001m15,B20001e16,B20001m16,B20001e17,B20001m17,B20001e18,B20001m18,B20001e19,B20001m19,B20001e20,B20001m20,B20001e21,B20001m21,B20001e22,B20001m22,B20001e23,B20001m23,B20001e24,B20001m24,B20001e25,B20001m25,B20001e26,B20001m26,B20001e27,B20001m27,B20001e28,B20001m28,B20001e29,B20001m29,B20001e30,B20001m30,B20001e31,B20001m31,B20001e32,B20001m32,B20001e33,B20001m33,B20001e34,B20001m34,B20001e35,B20001m35,B20001e36,B20001m36,B20001e37,B20001m37,B20001e38,B20001m38,B20001e39,B20001m39,B20001e40,B20001m40,B20001e41,B20001m41,B20001e42,B20001m42,B20001e43,B20001m43,B20002e1,B20002m1,B20002e2,B20002m2,B20002e3,B20002m3,B20003e1,B20003m1,B20003e2,B20003m2,B20003e3,B20003m3,B20003e4,B20003m4,B20003e5,B20003m5,B20003e6,B20003m6,B20003e7,B20003m7
450399601001,493,137,236,79,0,12,0,12,11,14,1,2,17,18,0,12,7,10,17,22,17,19,16,17,34,41,8,13,17,18,22,19,9,12,29,26,19,23,5,8,2,3,5,8,257,83,23,24,7,11,7,12,19,17,6,8,22,24,23,32,5,8,10,11,0,12,53,33,37,29,15,25,3,7,0,12,11,12,0,12,7,9,5,8,4,8,27526,2957,29783,9686,25602,8742,14848600,4554595,8332000,2793810,7422600,2560353,909400,829634,6516600,2380504,5121500,2057541,1395100,1065447
450399601002,444,123,198,75,5,8,0,12,10,16,0,12,26,31,6,9,0,12,0,12,0,12,8,13,10,15,4,6,0,12,33,27,35,28,26,18,21,26,11,12,0,12,3,6,246,80,23,20,9,10,0,12,46,35,23,27,5,8,10,16,19,29,0,12,1,4,29,24,40,30,10,15,0,12,15,14,0,12,0,12,4,7,0,12,12,17,29310,4847,44167,5484,18421,10804,14032200,4151679,8104600,3163314,7483100,2982584,621500,699973,5927600,2381416,4247900,2139323,1679700,975463
450399602001,431,148,270,123,13,23,0,12,0,12,0,12,14,27,0,12,0,12,15,24,0,12,0,12,39,49,49,54,27,41,43,41,9,14,0,12,0,12,0,12,45,66,16,25,161,95,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,29,46,4,11,0,12,57,57,0,12,40,45,0,12,10,17,0,12,0,12,0,12,21,32,34837,6085,35463,5552,34525,10651,,,,,,,,,,,,,,
450399602002,540,167,269,107,42,63,0,12,0,12,5,9,0,12,13,19,0,12,5,8,21,34,2,6,57,50,25,37,39,40,0,12,0,12,16,20,0,12,0,12,8,12,36,34,271,115,0,12,61,62,0,12,0,12,5,10,13,19,17,42,0,12,85,76,0,12,0,12,15,19,3,7,16,22,0,12,8,12,0,12,25,35,23,18,0,12,25074,7492,28859,8530,21162,1892,23003400,11221653,15163000,10926309,14994700,10935170,168300,169531,7840500,3554590,6316900,3468927,1523500,1404726
450399602003,673,210,426,174,7,12,26,32,4,8,0,12,39,43,0,12,0,12,0,12,15,18,8,15,43,45,76,75,22,38,0,12,15,20,45,46,86,69,0,12,13,21,27,33,247,91,0,12,0,12,24,37,9,13,0,12,18,20,27,31,13,24,47,66,0,12,12,18,21,26,8,16,0,12,29,36,13,17,0,12,9,14,0,12,17,28,31357,6969,34167,16286,21729,11305,25934000,10517006,17738500,7640306,15558900,6457956,2179600,2215473,8195500,4393151,6738500,4426790,1457000,1450333
450399603001,643,214,288,121,0,12,36,58,0,12,0,12,0,12,0,12,17,26,0,12,0,12,29,32,17,25,0,12,0,12,12,21,0,12,57,51,16,24,25,28,32,35,47,45,355,123,25,41,14,24,20,30,15,25,0,12,0,12,0,12,16,25,0,12,19,30,35,42,0,12,53,53,0,12,0,12,15,24,16,25,40,44,87,69,0,12,50703,22045,52500,10844,36994,17682,34167000,14477902,18411900,9541986,17565700,9478491,846200,820418,15755100,6940506,14603300,6626786,1151800,1557817
450399603002,365,177,166,111,59,71,0,12,0,12,0,12,0,12,0,12,0,12,0,12,38,71,0,12,4,6,1,2,0,12,29,34,0,12,9,16,4,5,8,13,14,20,0,12,199,119,26,44,4,5,11,20,0,12,60,87,0,12,54,63,0,12,0,12,0,12,1,3,7,9,19,24,0,12,3,4,0,12,0,12,1,3,0,12,13,24,16042,7424,,,12438,7248,9487000,5620777,4658800,2990265,3768300,2484347,890400,1459259,4828300,3815523,3927300,3631075,901000,1024467
450399603003,571,185,289,142,80,62,0,12,0,12,14,23,0,12,50,74,17,27,0,12,0,12,0,12,0,12,0,12,24,36,0,12,9,18,82,89,13,21,0,12,0,12,0,12,282,113,0,12,0,12,18,30,91,59,0,12,0,12,0,12,0,12,46,64,0,12,62,76,20,29,0,12,0,12,24,40,21,32,0,12,0,12,0,12,0,12,20842,13635,,,21739,12711,13938700,6661154,7422600,4989661,7208100,4996816,214500,211867,6516100,3912230,5119200,3957436,1396900,967397
450399603004,802,227,532,176,1,4,31,50,63,77,0,12,12,16,0,12,53,67,2,3,12,23,0,12,99,97,25,28,9,18,4,7,7,9,40,41,106,109,22,26,43,44,3,4,270,99,37,45,2,4,21,31,0,12,25,29,10,18,41,65,2,3,7,9,13,20,38,34,6,10,25,38,5,12,0,12,2,3,16,23,1,2,17,28,2,3,28365,4208,29823,19331,17439,14343,27264900,10198540,20307400,8385106,18470400,7711404,1837000,1788131,6957500,3402763,4651600,3516080,2306000,1489806
450399604001,366,176,142,79,0,12,0,12,0,12,0,12,19,28,23,28,0,12,0,12,0,12,0,12,0,12,0,12,0,12,25,42,60,57,0,12,15,25,0,12,0,12,0,12,224,117,0,12,14,24,0,12,0,12,0,12,17,29,48,52,0,12,37,61,0,12,26,32,15,25,0,12,49,48,0,12,0,12,0,12,0,12,18,32,0,12,27404,21607,45250,11519,22230,9452,11784400,6787132,5367100,3446814,4816900,3483989,550200,509291,6417300,4167050,4925300,3561977,1492000,1521250
