census_block_group,B21001e1,B21001m1,B21001e2,B21001m2,B21001e3,B21001m3,B21001e4,B21001m4,B21001e5,B21001m5,B21001e6,B21001m6,B21001e7,B21001m7,B21001e8,B21001m8,B21001e9,B21001m9,B21001e10,B21001m10,B21001e11,B21001m11,B21001e12,B21001m12,B21001e13,B21001m13,B21001e14,B21001m14,B21001e15,B21001m15,B21001e16,B21001m16,B21001e17,B21001m17,B21001e18,B21001m18,B21001e19,B21001m19,B21001e20,B21001m20,B21001e21,B21001m21,B21001e22,B21001m22,B21001e23,B21001m23,B21001e24,B21001m24,B21001e25,B21001m25,B21001e26,B21001m26,B21001e27,B21001m27,B21001e28,B21001m28,B21001e29,B21001m29,B21001e30,B21001m30,B21001e31,B21001m31,B21001e32,B21001m32,B21001e33,B21001m33,B21001e34,B21001m34,B21001e35,B21001m35,B21001e36,B21001m36,B21001e37,B21001m37,B21001e38,B21001m38,B21001e39,B21001m39,B21002e1,B21002m1,B21002e2,B21002m2,B21002e3,B21002m3,B21002e4,B21002m4,B21002e5,B21002m5,B21002e6,B21002m6,B21002e7,B21002m7,B21002e8,B21002m8,B21002e9,B21002m9,B21002e10,B21002m10,B21002e11,B21002m11,B21002e12,B21002m12,B21002e13,B21002m13,B21002e14,B21002m14,B21002e15,B21002m15,B21002e16,B21002m16,C21007e1,C21007m1,C21007e2,C21007m2,C21007e3,C21007m3,C21007e4,C21007m4,C21007e5,C21007m5,C21007e6,C21007m6,C21007e7,C21007m7,C21007e8,C21007m8,C21007e9,C21007m9,C21007e10,C21007m10,C21007e11,C21007m11,C21007e12,C21007m12,C21007e13,C21007m13,C21007e14,C21007m14,C21007e15,C21007m15,C21007e16,C21007m16,C21007e17,C21007m17,C21007e18,C21007m18,C21007e19,C21007m19,C21007e20,C21007m20,C21007e21,C21007m21,C21007e22,C21007m22,C21007e23,C21007m23,C21007e24,C21007m24,C21007e25,C21007m25,C21007e26,C21007m26,C21007e27,C21007m27,C21007e28,C21007m28,C21007e29,C21007m29,C21007e30,C21007m30,C21007e31,C21007m31
450399601001,874,163,75,46,799,153,412,106,66,44,346,102,91,60,0,12,91,60,157,73,11,12,146,69,103,58,47,41,56,41,45,28,5,8,40,26,16,17,3,5,13,16,462,110,9,13,453,105,109,63,0,12,109,63,178,56,9,13,169,51,73,35,0,12,73,35,51,31,0,12,51,31,51,41,0,12,51,41,75,46,9,13,0,12,0,12,7,9,15,21,24,21,0,12,0,12,3,5,0,12,0,12,17,18,0,12,0,12,0,12,874,163,711,161,67,45,24,34,9,13,15,21,43,30,15,17,28,22,644,148,177,92,9,13,168,86,467,136,69,41,398,117,163,59,8,10,0,12,0,12,0,12,8,10,0,12,8,10,155,57,43,41,43,41,0,12,112,53,22,17,90,49
450399601002,687,138,29,19,658,133,263,72,29,19,234,68,56,35,0,12,56,35,74,37,0,12,74,37,71,44,12,15,59,38,50,20,11,9,39,20,12,10,6,7,6,8,424,95,0,12,424,95,97,49,0,12,97,49,145,55,0,12,145,55,76,34,0,12,76,34,48,18,0,12,48,18,58,46,0,12,58,46,29,19,0,12,0,12,0,12,0,12,0,12,23,17,0,12,0,12,6,7,0,12,0,12,0,12,0,12,0,12,0,12,687,138,519,121,12,15,0,12,0,12,0,12,12,15,7,12,5,7,507,116,97,59,42,33,55,49,410,118,27,21,383,114,168,55,17,12,0,12,0,12,0,12,17,12,5,7,12,11,151,53,34,29,15,17,19,23,117,38,38,31,79,29
450399602001,865,231,60,46,805,225,357,125,60,46,297,133,45,66,0,12,45,66,195,81,60,46,135,79,66,67,0,12,66,67,37,41,0,12,37,41,14,16,0,12,14,16,508,171,0,12,508,171,172,110,0,12,172,110,231,93,0,12,231,93,34,31,0,12,34,31,46,53,0,12,46,53,25,31,0,12,25,31,60,46,0,12,10,18,0,12,16,25,0,12,0,12,0,12,0,12,0,12,0,12,0,12,34,38,0,12,0,12,0,12,865,231,743,222,60,46,0,12,0,12,0,12,60,46,0,12,60,46,683,217,117,85,26,41,91,89,566,228,99,94,467,199,122,91,0,12,0,12,0,12,0,12,0,12,0,12,0,12,122,91,0,12,0,12,0,12,122,91,38,53,84,51
450399602002,1059,212,39,33,1020,207,551,126,39,33,512,123,130,66,0,12,130,66,195,74,0,12,195,74,83,47,19,23,64,39,82,51,3,14,79,49,61,39,17,17,44,35,508,139,0,12,508,139,200,99,0,12,200,99,121,68,0,12,121,68,84,36,0,12,84,36,67,39,0,12,67,39,36,34,0,12,36,34,39,33,0,12,0,12,0,12,0,12,0,12,11,17,0,12,0,12,7,10,0,12,6,11,8,13,7,16,0,12,0,12,1059,212,813,201,19,23,0,12,0,12,0,12,19,23,11,17,8,13,794,199,198,120,45,39,153,112,596,180,50,51,546,171,246,96,20,23,0,12,0,12,0,12,20,23,7,16,13,15,226,94,18,22,11,13,7,12,208,96,99,64,109,75
450399602003,1242,281,256,164,986,210,758,194,256,164,502,160,79,58,0,12,79,58,447,152,156,137,291,158,123,67,33,41,90,56,90,56,58,47,32,24,19,18,9,11,10,12,484,131,0,12,484,131,60,52,0,12,60,52,151,69,0,12,151,69,155,72,0,12,155,72,65,35,0,12,65,35,53,38,0,12,53,38,256,164,0,12,19,31,0,12,107,128,0,12,82,51,0,12,0,12,5,9,0,12,0,12,30,34,13,15,0,12,0,12,1184,281,957,256,189,127,0,12,0,12,0,12,189,127,87,124,102,65,768,206,171,114,40,43,131,101,597,204,77,74,520,190,227,83,67,48,0,12,0,12,0,12,67,48,21,20,46,44,160,65,25,31,19,30,6,10,135,60,42,27,93,45
450399603001,1002,219,155,56,847,215,498,123,144,56,354,127,36,58,0,12,36,58,87,58,0,12,87,58,160,70,28,34,132,65,139,65,62,44,77,53,76,45,54,41,22,25,504,122,11,20,493,119,16,25,0,12,16,25,198,101,11,20,187,96,90,54,0,12,90,54,165,65,0,12,165,65,35,34,0,12,35,34,155,56,0,12,11,20,0,12,16,26,16,26,66,41,18,22,0,12,17,27,0,12,11,17,0,12,0,12,0,12,0,12,1002,219,587,191,39,40,0,12,0,12,0,12,39,40,0,12,39,40,548,177,0,12,0,12,0,12,548,177,27,29,521,173,415,125,116,49,0,12,0,12,0,12,116,49,82,45,34,35,299,116,0,12,0,12,0,12,299,116,37,37,262,110
450399603002,704,281,164,115,540,252,278,156,107,75,171,108,38,46,0,12,38,46,107,88,39,36,68,77,78,110,36,55,42,56,54,35,31,28,23,32,1,2,1,2,0,12,426,189,57,63,369,188,70,76,0,12,70,76,147,110,33,47,114,102,113,64,24,40,89,50,92,76,0,12,92,76,4,6,0,12,4,6,164,115,0,12,12,20,0,12,58,80,0,12,32,28,0,12,0,12,0,12,0,12,0,12,62,73,0,12,0,12,0,12,704,281,553,259,132,110,33,55,0,12,33,55,99,90,39,43,60,80,421,219,166,105,39,36,127,95,255,204,24,29,231,203,151,88,32,28,0,12,0,12,0,12,32,28,6,10,26,26,119,84,3,5,2,4,1,4,116,84,33,34,83,75
450399603003,1102,304,35,38,1067,304,486,171,35,38,451,172,110,104,0,12,110,104,222,115,17,27,205,110,70,47,13,21,57,50,64,54,0,12,64,54,20,22,5,11,15,19,616,201,0,12,616,201,161,122,0,12,161,122,160,81,0,12,160,81,151,83,0,12,151,83,91,59,0,12,91,59,53,43,0,12,53,43,35,38,13,21,0,12,0,12,0,12,0,12,0,12,0,12,0,12,5,11,0,12,0,12,17,27,0,12,0,12,0,12,1007,258,848,242,30,36,0,12,0,12,0,12,30,36,0,12,30,36,818,240,218,164,48,59,170,160,600,241,68,79,532,233,159,78,0,12,0,12,0,12,0,12,0,12,0,12,0,12,159,78,28,41,28,41,0,12,131,78,28,31,103,69
450399603004,1803,352,222,125,1581,338,933,190,221,125,712,190,166,124,0,12,166,124,305,122,34,50,271,111,242,130,88,107,154,125,128,77,39,38,89,71,92,55,60,39,32,29,870,219,1,3,869,219,57,49,0,12,57,49,396,153,0,12,396,153,210,115,0,12,210,115,94,54,1,3,93,54,113,80,0,12,113,80,222,125,0,12,86,107,0,12,0,12,0,12,52,42,0,12,0,12,28,24,0,12,14,29,31,49,11,16,0,12,0,12,1678,358,1331,339,122,110,29,49,29,49,0,12,93,107,2,3,91,107,1209,313,332,197,47,52,285,204,877,268,123,97,754,237,347,127,80,48,19,26,19,26,0,12,61,47,31,33,30,31,267,115,9,14,0,12,9,14,258,114,110,84,148,82
450399604001,709,221,74,68,635,214,426,144,56,44,370,140,72,64,0,12,72,64,206,103,17,30,189,101,49,62,0,12,49,62,92,66,32,31,60,56,7,11,7,11,0,12,283,131,18,32,265,125,15,27,0,12,15,27,98,63,18,32,80,56,131,92,0,12,131,92,34,28,0,12,34,28,5,11,0,12,5,11,74,68,0,12,35,60,0,12,0,12,0,12,32,31,0,12,0,12,0,12,0,12,0,12,0,12,7,11,0,12,0,12,709,221,571,222,35,60,0,12,0,12,0,12,35,60,0,12,35,60,536,216,61,64,21,43,40,47,475,211,151,106,324,171,138,68,39,32,0,12,0,12,0,12,39,32,16,18,23,29,99,59,5,11,5,11,0,12,94,59,60,56,34,28
