census_block_group,B27010e1,B27010m1,B27010e2,B27010m2,B27010e3,B27010m3,B27010e4,B27010m4,B27010e5,B27010m5,B27010e6,B27010m6,B27010e7,B27010m7,B27010e8,B27010m8,B27010e9,B27010m9,B27010e10,B27010m10,B27010e11,B27010m11,B27010e12,B27010m12,B27010e13,B27010m13,B27010e14,B27010m14,B27010e15,B27010m15,B27010e16,B27010m16,B27010e17,B27010m17,B27010e18,B27010m18,B27010e19,B27010m19,B27010e20,B27010m20,B27010e21,B27010m21,B27010e22,B27010m22,B27010e23,B27010m23,B27010e24,B27010m24,B27010e25,B27010m25,B27010e26,B27010m26,B27010e27,B27010m27,B27010e28,B27010m28,B27010e29,B27010m29,B27010e30,B27010m30,B27010e31,B27010m31,B27010e32,B27010m32,B27010e33,B27010m33,B27010e34,B27010m34,B27010e35,B27010m35,B27010e36,B27010m36,B27010e37,B27010m37,B27010e38,B27010m38,B27010e39,B27010m39,B27010e40,B27010m40,B27010e41,B27010m41,B27010e42,B27010m42,B27010e43,B27010m43,B27010e44,B27010m44,B27010e45,B27010m45,B27010e46,B27010m46,B27010e47,B27010m47,B27010e48,B27010m48,B27010e49,B27010m49,B27010e50,B27010m50,B27010e51,B27010m51,B27010e52,B27010m52,B27010e53,B27010m53,B27010e54,B27010m54,B27010e55,B27010m55,B27010e56,B27010m56,B27010e57,B27010m57,B27010e58,B27010m58,B27010e59,B27010m59,B27010e60,B27010m60,B27010e61,B27010m61,B27010e62,B27010m62,B27010e63,B27010m63,B27010e64,B27010m64,B27010e65,B27010m65,B27010e66,B27010m66
450399601001,1101,211,227,98,211,96,29,28,14,17,0,12,168,92,0,12,0,12,16,22,0,12,0,12,0,12,16,22,0,12,0,12,0,12,200,86,127,70,85,58,25,37,0,12,13,22,4,6,0,12,6,9,5,9,0,12,0,12,0,12,0,12,1,2,67,53,511,125,318,85,239,70,33,26,0,12,16,18,0,12,30,27,68,41,17,18,0,12,0,12,9,14,19,22,0,12,23,26,125,78,163,59,91,57,7,9,0,12,84,55,0,12,0,12,72,39,0,12,32,24,7,12,9,14,0,12,0,12,24,23,0,12
450399601002,931,225,244,123,206,103,56,51,0,12,0,12,150,89,0,12,0,12,9,12,0,12,0,12,0,12,0,12,0,12,9,12,29,33,153,65,153,65,126,62,10,18,8,16,9,13,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,366,95,228,77,186,68,29,24,0,12,13,21,0,12,0,12,76,41,0,12,6,10,0,12,48,33,0,12,0,12,22,22,62,34,168,55,70,40,0,12,0,12,70,40,0,12,0,12,98,45,0,12,26,23,23,26,18,19,0,12,0,12,31,23,0,12
450399602001,1015,308,150,129,96,94,41,53,0,12,0,12,55,63,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,54,71,217,123,151,127,72,71,33,49,0,12,46,77,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,66,72,526,135,369,138,271,136,37,55,0,12,61,58,0,12,0,12,49,48,0,12,0,12,0,12,0,12,0,12,0,12,49,48,108,103,122,91,75,84,0,12,0,12,75,84,0,12,0,12,47,37,0,12,0,12,15,22,18,29,0,12,0,12,14,20,0,12
450399602002,1260,286,201,151,190,154,26,29,0,12,0,12,164,153,0,12,0,12,11,18,0,12,0,12,0,12,0,12,0,12,11,18,0,12,330,119,181,93,153,84,0,12,0,12,28,31,0,12,0,12,26,42,0,12,0,12,0,12,0,12,0,12,26,42,123,80,483,144,325,124,285,118,40,38,0,12,0,12,0,12,0,12,79,44,0,12,0,12,0,12,29,34,0,12,11,17,39,36,79,58,246,96,135,61,0,12,0,12,135,61,0,12,0,12,111,75,0,12,55,51,26,32,12,20,0,12,3,14,15,24,0,12
450399602003,1409,346,225,111,225,111,161,101,0,12,0,12,64,65,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,106,69,54,47,47,45,0,12,0,12,7,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,52,52,851,232,553,157,404,156,84,76,13,21,39,59,13,24,0,12,113,87,20,25,11,18,0,12,0,12,21,32,0,12,61,56,185,116,227,83,51,39,0,12,0,12,51,39,0,12,0,12,176,69,0,12,84,41,8,13,0,12,0,12,46,45,38,34,0,12
450399603001,1046,230,44,49,44,49,44,49,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,52,65,52,65,52,65,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,535,173,450,151,389,147,32,34,13,19,0,12,16,24,0,12,85,78,14,30,0,12,0,12,0,12,60,67,0,12,11,20,0,12,415,125,127,67,12,20,0,12,115,63,0,12,0,12,288,105,15,24,81,68,56,48,0,12,0,12,0,12,136,80,0,12
450399603002,890,370,186,122,86,78,12,18,8,12,0,12,66,72,0,12,0,12,18,28,0,12,0,12,0,12,18,28,0,12,0,12,82,96,108,86,80,72,54,63,0,12,0,12,26,41,0,12,0,12,28,44,0,12,0,12,2,4,26,44,0,12,0,12,0,12,445,206,223,150,162,113,21,28,1,3,36,58,0,12,3,5,55,52,0,12,0,12,0,12,6,10,11,20,24,40,14,20,167,163,151,88,43,44,0,12,0,12,43,44,0,12,0,12,108,79,0,12,28,33,19,28,38,53,0,12,0,12,23,31,0,12
450399603003,1387,333,380,162,319,143,112,115,0,12,0,12,207,136,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,61,86,271,177,153,148,121,110,0,12,0,12,32,53,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,118,124,577,164,328,117,168,100,62,50,0,12,98,72,0,12,0,12,89,62,14,23,0,12,0,12,75,57,0,12,0,12,0,12,160,97,159,78,127,75,0,12,0,12,127,75,0,12,0,12,32,26,0,12,0,12,16,25,0,12,0,12,0,12,16,25,0,12
450399603004,2132,489,454,188,450,189,101,89,20,33,0,12,217,147,112,131,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,4,8,223,138,36,36,7,12,8,13,0,12,21,31,0,12,0,12,17,35,0,12,0,12,0,12,0,12,0,12,17,35,170,122,1108,311,893,317,420,160,97,75,4,7,202,156,168,178,2,4,89,82,46,66,4,11,0,12,4,5,0,12,1,3,34,44,126,94,347,127,42,43,0,12,0,12,42,43,0,12,0,12,305,127,0,12,103,82,82,74,48,62,0,12,17,25,55,41,0,12
450399604001,962,320,253,165,234,149,30,51,0,12,0,12,155,151,49,82,0,12,19,29,0,12,0,12,19,29,0,12,0,12,0,12,0,12,87,82,57,69,38,62,19,28,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,30,44,484,199,319,173,141,95,37,61,0,12,106,91,35,60,0,12,92,82,33,38,0,12,0,12,59,72,0,12,0,12,0,12,73,79,138,68,25,26,0,12,0,12,25,26,0,12,0,12,113,66,0,12,23,27,0,12,74,57,0,12,16,18,0,12,0,12
450399604002,822,325,150,122,150,122,57,88,0,12,0,12,93,85,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,76,80,43,53,32,43,11,18,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,33,45,459,198,246,137,169,97,0,12,0,12,77,105,0,12,0,12,213,138,0,12,13,20,12,20,39,43,0,12,36,42,113,96,0,12,137,71,0,12,0,12,0,12,0,12,0,12,0,12,137,71,0,12,0,12,32,33,12,21,0,12,0,12,93,67,0,12
450399604003,634,267,111,103,88,98,11,18,0,12,0,12,77,95,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,23,38,91,95,73,78,51,70,0,12,0,12,22,38,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,18,31,304,161,255,161,194,113,11,22,0,12,0,12,0,12,50,72,34,39,0,12,0,12,0,12,0,12,21,31,0,12,13,22,15,25,128,89,42,43,0,12,0,12,42,43,0,12,0,12,86,81,0,12,0,12,14,19,0,12,0,12,0,12,72,76,0,12
450399604004,815,293,114,109,114,109,0,12,0,12,0,12,114,109,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,309,170,203,137,0,12,0,12,0,12,157,112,0,12,46,75,0,12,0,12,0,12,0,12,0,12,0,12,0,12,106,97,206,101,93,63,65,52,0,12,0,12,11,20,17,28,0,12,18,27,0,12,0,12,0,12,0,12,0,12,0,12,18,27,95,72,186,93,95,77,0,12,0,12,95,77,0,12,0,12,91,55,0,12,14,22,8,14,1,8,0,12,0,12,68,42,0,12
450399604005,2115,510,639,241,532,246,57,48,0,12,0,12,475,234,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,107,175,620,243,246,148,94,91,0,12,0,12,152,134,0,12,0,12,60,83,0,12,0,12,49,81,0,12,0,12,11,18,314,185,699,266,449,195,336,190,29,35,24,27,60,68,0,12,0,12,76,75,0,12,0,12,0,12,76,75,0,12,0,12,0,12,174,105,157,107,13,16,0,12,0,12,13,16,0,12,0,12,144,108,0,12,72,70,0,12,34,48,0,12,0,12,38,32,0,12
450399605001,2015,657,533,283,533,283,100,95,0,12,0,12,433,268,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,462,221,330,198,248,175,0,12,0,12,82,82,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,132,87,718,247,482,183,286,137,21,34,67,54,108,120,0,12,0,12,92,63,18,31,9,18,0,12,32,52,0,12,0,12,33,35,144,110,302,170,163,170,0,12,0,12,163,170,0,12,0,12,139,72,0,12,27,33,0,12,15,24,0,12,20,26,77,57,0,12
450399605002,1236,457,209,160,175,148,139,143,0,12,0,12,36,49,0,12,0,12,34,55,0,12,0,12,0,12,0,12,0,12,34,55,0,12,232,135,159,116,108,93,11,21,0,12,40,70,0,12,0,12,15,25,0,12,15,25,0,12,0,12,0,12,0,12,58,49,558,217,396,193,340,197,0,12,17,30,18,35,21,35,0,12,112,103,79,97,16,23,0,12,0,12,0,12,0,12,17,33,50,58,237,132,90,86,0,12,0,12,90,86,0,12,0,12,147,68,0,12,66,66,20,19,12,20,0,12,16,25,33,29,0,12
450399605003,1596,452,145,143,145,143,145,143,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,346,178,197,147,83,90,72,108,0,12,42,59,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,149,121,628,224,450,213,428,208,22,34,0,12,0,12,0,12,0,12,73,69,0,12,0,12,22,38,0,12,0,12,0,12,51,57,105,101,477,190,175,131,0,12,0,12,175,131,0,12,0,12,302,181,0,12,67,75,86,103,25,37,0,12,28,31,96,114,0,12
450399605004,1355,590,436,404,412,395,0,12,0,12,0,12,370,387,0,12,42,58,24,43,24,43,0,12,0,12,0,12,0,12,0,12,0,12,302,197,203,136,131,148,0,12,0,12,72,104,0,12,0,12,63,95,0,12,0,12,0,12,0,12,0,12,63,95,36,55,415,176,323,140,221,124,23,37,18,29,34,61,0,12,27,36,59,65,0,12,0,12,0,12,0,12,0,12,30,43,29,45,33,41,202,179,61,77,0,12,0,12,61,77,0,12,0,12,141,170,0,12,79,100,16,26,0,12,0,12,0,12,46,68,0,12
