census_block_group,C16002e1,C16002m1,C16002e2,C16002m2,C16002e3,C16002m3,C16002e4,C16002m4,C16002e5,C16002m5,C16002e6,C16002m6,C16002e7,C16002m7,C16002e8,C16002m8,C16002e9,C16002m9,C16002e10,C16002m10,C16002e11,C16002m11,C16002e12,C16002m12,C16002e13,C16002m13,C16002e14,C16002m14,B16004e1,B16004m1,B16004e2,B16004m2,B16004e3,B16004m3,B16004e4,B16004m4,B16004e5,B16004m5,B16004e6,B16004m6,B16004e7,B16004m7,B16004e8,B16004m8,B16004e9,B16004m9,B16004e10,B16004m10,B16004e11,B16004m11,B16004e12,B16004m12,B16004e13,B16004m13,B16004e14,B16004m14,B16004e15,B16004m15,B16004e16,B16004m16,B16004e17,B16004m17,B16004e18,B16004m18,B16004e19,B16004m19,B16004e20,B16004m20,B16004e21,B16004m21,B16004e22,B16004m22,B16004e23,B16004m23,B16004e24,B16004m24,B16004e25,B16004m25,B16004e26,B16004m26,B16004e27,B16004m27,B16004e28,B16004m28,B16004e29,B16004m29,B16004e30,B16004m30,B16004e31,B16004m31,B16004e32,B16004m32,B16004e33,B16004m33,B16004e34,B16004m34,B16004e35,B16004m35,B16004e36,B16004m36,B16004e37,B16004m37,B16004e38,B16004m38,B16004e39,B16004m39,B16004e40,B16004m40,B16004e41,B16004m41,B16004e42,B16004m42,B16004e43,B16004m43,B16004e44,B16004m44,B16004e45,B16004m45,B16004e46,B16004m46,B16004e47,B16004m47,B16004e48,B16004m48,B16004e49,B16004m49,B16004e50,B16004m50,B16004e51,B16004m51,B16004e52,B16004m52,B16004e53,B16004m53,B16004e54,B16004m54,B16004e55,B16004m55,B16004e56,B16004m56,B16004e57,B16004m57,B16004e58,B16004m58,B16004e59,B16004m59,B16004e60,B16004m60,B16004e61,B16004m61,B16004e62,B16004m62,B16004e63,B16004m63,B16004e64,B16004m64,B16004e65,B16004m65,B16004e66,B16004m66,B16004e67,B16004m67
450399601001,438,86,438,86,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,1030,197,156,74,156,74,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,711,161,708,162,3,5,0,12,0,12,0,12,3,5,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,163,59,163,59,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
450399601002,375,80,368,80,0,12,0,12,0,12,7,13,0,12,7,13,0,12,0,12,0,12,0,12,0,12,0,12,904,213,217,110,207,111,0,12,0,12,0,12,0,12,0,12,10,17,10,17,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,519,121,519,121,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,168,55,168,55,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
450399602001,353,89,353,89,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,955,287,90,95,90,95,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,743,222,743,222,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,122,91,122,91,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
450399602002,543,110,524,107,19,29,0,12,19,29,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,1150,240,91,80,91,80,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,813,201,794,198,19,29,19,29,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,246,96,246,96,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
450399602003,549,121,472,107,25,40,0,12,25,40,52,53,0,12,52,53,0,12,0,12,0,12,0,12,0,12,0,12,1369,306,127,81,105,74,0,12,0,12,0,12,0,12,0,12,22,33,0,12,0,12,22,33,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,1015,257,899,224,39,62,39,62,0,12,0,12,0,12,77,80,54,73,0,12,23,37,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,227,83,227,83,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
450399603001,535,109,516,105,0,12,0,12,0,12,19,30,19,30,0,12,0,12,0,12,0,12,0,12,0,12,0,12,1046,230,44,49,44,49,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,587,191,568,194,0,12,0,12,0,12,0,12,0,12,19,30,0,12,19,30,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,415,125,415,125,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
450399603002,384,128,384,128,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,878,366,174,118,174,118,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,553,259,553,259,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,151,88,151,88,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
450399603003,549,143,525,149,24,36,0,12,24,36,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,1428,353,326,130,265,139,61,88,0,12,32,46,29,43,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,874,264,874,264,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,228,94,228,94,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
450399603004,890,177,872,170,2,5,0,12,2,5,16,28,0,12,16,28,0,12,0,12,0,12,0,12,0,12,0,12,2237,478,434,183,434,183,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,1376,335,1347,323,2,5,2,5,0,12,0,12,0,12,27,47,27,47,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,427,142,427,142,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
450399604001,345,99,345,99,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,903,297,194,140,194,140,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,571,222,571,222,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,138,68,138,68,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
