census_block_group,C17002e1,C17002m1,C17002e2,C17002m2,C17002e3,C17002m3,C17002e4,C17002m4,C17002e5,C17002m5,C17002e6,C17002m6,C17002e7,C17002m7,C17002e8,C17002m8,B17010e1,B17010m1,B17010e2,B17010m2,B17010e3,B17010m3,B17010e4,B17010m4,B17010e5,B17010m5,B17010e6,B17010m6,B17010e7,B17010m7,B17010e8,B17010m8,B17010e9,B17010m9,B17010e10,B17010m10,B17010e11,B17010m11,B17010e12,B17010m12,B17010e13,B17010m13,B17010e14,B17010m14,B17010e15,B17010m15,B17010e16,B17010m16,B17010e17,B17010m17,B17010e18,B17010m18,B17010e19,B17010m19,B17010e20,B17010m20,B17010e21,B17010m21,B17010e22,B17010m22,B17010e23,B17010m23,B17010e24,B17010m24,B17010e25,B17010m25,B17010e26,B17010m26,B17010e27,B17010m27,B17010e28,B17010m28,B17010e29,B17010m29,B17010e30,B17010m30,B17010e31,B17010m31,B17010e32,B17010m32,B17010e33,B17010m33,B17010e34,B17010m34,B17010e35,B17010m35,B17010e36,B17010m36,B17010e37,B17010m37,B17010e38,B17010m38,B17010e39,B17010m39,B17010e40,B17010m40,B17010e41,B17010m41,B17011e1,B17011m1,B17011e2,B17011m2,B17011e3,B17011m3,B17011e4,B17011m4,B17011e5,B17011m5,B17017e1,B17017m1,B17017e2,B17017m2,B17017e3,B17017m3,B17017e4,B17017m4,B17017e5,B17017m5,B17017e6,B17017m6,B17017e7,B17017m7,B17017e8,B17017m8,B17017e9,B17017m9,B17017e10,B17017m10,B17017e11,B17017m11,B17017e12,B17017m12,B17017e13,B17017m13,B17017e14,B17017m14,B17017e15,B17017m15,B17017e16,B17017m16,B17017e17,B17017m17,B17017e18,B17017m18,B17017e19,B17017m19,B17017e20,B17017m20,B17017e21,B17017m21,B17017e22,B17017m22,B17017e23,B17017m23,B17017e24,B17017m24,B17017e25,B17017m25,B17017e26,B17017m26,B17017e27,B17017m27,B17017e28,B17017m28,B17017e29,B17017m29,B17017e30,B17017m30,B17017e31,B17017m31,B17017e32,B17017m32,B17017e33,B17017m33,B17017e34,B17017m34,B17017e35,B17017m35,B17017e36,B17017m36,B17017e37,B17017m37,B17017e38,B17017m38,B17017e39,B17017m39,B17017e40,B17017m40,B17017e41,B17017m41,B17017e42,B17017m42,B17017e43,B17017m43,B17017e44,B17017m44,B17017e45,B17017m45,B17017e46,B17017m46,B17017e47,B17017m47,B17017e48,B17017m48,B17017e49,B17017m49,B17017e50,B17017m50,B17017e51,B17017m51,B17017e52,B17017m52,B17017e53,B17017m53,B17017e54,B17017m54,B17017e55,B17017m55,B17017e56,B17017m56,B17017e57,B17017m57,B17017e58,B17017m58,B17017e59,B17017m59,B17021e1,B17021m1,B17021e2,B17021m2,B17021e3,B17021m3,B17021e4,B17021m4,B17021e5,B17021m5,B17021e6,B17021m6,B17021e7,B17021m7,B17021e8,B17021m8,B17021e9,B17021m9,B17021e10,B17021m10,B17021e11,B17021m11,B17021e12,B17021m12,B17021e13,B17021m13,B17021e14,B17021m14,B17021e15,B17021m15,B17021e16,B17021m16,B17021e17,B17021m17,B17021e18,B17021m18,B17021e19,B17021m19,B17021e20,B17021m20,B17021e21,B17021m21,B17021e22,B17021m22,B17021e23,B17021m23,B17021e24,B17021m24,B17021e25,B17021m25,B17021e26,B17021m26,B17021e27,B17021m27,B17021e28,B17021m28,B17021e29,B17021m29,B17021e30,B17021m30,B17021e31,B17021m31,B17021e32,B17021m32,B17021e33,B17021m33,B17021e34,B17021m34,B17021e35,B17021m35
450399601001,1101,211,229,117,109,73,100,82,12,17,65,57,8,12,578,179,251,53,70,37,8,12,8,12,0,12,0,12,8,12,0,12,62,38,8,13,0,12,0,12,0,12,0,12,8,13,54,35,34,29,19,25,9,14,6,10,20,18,181,49,121,41,51,33,16,18,0,12,35,28,70,41,60,29,21,19,7,9,0,12,0,12,7,9,14,13,39,25,18,17,5,8,9,14,4,6,21,19,,,,,,,,,,,438,86,137,67,70,37,8,12,0,12,0,12,8,12,0,12,62,38,8,13,0,12,0,12,8,13,0,12,54,35,0,12,29,28,25,21,0,12,67,54,19,24,0,12,6,10,13,22,0,12,48,41,0,12,0,12,5,7,43,41,301,66,181,49,121,41,0,12,17,14,81,35,23,17,60,29,21,19,0,12,7,11,9,10,5,7,39,25,0,12,23,22,10,12,6,8,120,47,49,29,0,12,8,12,15,16,26,22,71,38,0,12,15,25,32,25,24,19,1101,211,338,140,261,124,43,62,43,62,0,12,218,123,25,38,25,38,0,12,193,117,177,113,16,17,77,55,67,54,62,53,5,7,10,12,763,188,632,182,399,147,399,147,0,12,233,124,81,77,81,77,0,12,152,103,152,103,0,12,131,47,120,47,112,46,8,12,11,14
450399601002,931,225,18,21,165,97,85,92,54,54,64,95,26,28,519,148,224,61,33,26,0,12,0,12,0,12,0,12,0,12,0,12,33,26,7,13,7,13,0,12,0,12,7,13,0,12,26,22,12,13,0,12,0,12,12,13,14,18,191,60,102,40,13,14,6,11,0,12,7,10,89,36,89,47,0,12,0,12,0,12,0,12,0,12,0,12,89,47,52,34,6,9,7,10,39,32,37,27,,,,,,,,,,,375,80,87,45,33,26,0,12,0,12,0,12,0,12,0,12,33,26,7,13,0,12,0,12,7,13,0,12,26,22,10,18,1,2,9,11,6,10,54,36,0,12,0,12,0,12,0,12,0,12,54,36,0,12,0,12,26,22,28,27,288,70,191,60,102,40,0,12,18,19,37,31,47,19,89,47,0,12,0,12,0,12,0,12,0,12,89,47,0,12,42,33,23,15,24,26,97,39,65,32,0,12,0,12,47,29,18,19,32,25,0,12,10,16,10,10,12,16,931,225,183,100,129,93,0,12,0,12,0,12,129,93,27,45,27,45,0,12,102,79,102,79,0,12,54,36,54,36,54,36,0,12,0,12,748,219,651,216,270,119,270,119,0,12,381,193,8,13,0,12,8,13,373,196,358,184,15,22,97,39,97,39,97,39,0,12,0,12
450399602001,1015,308,78,61,39,54,0,12,81,109,63,95,0,12,754,312,262,85,12,23,12,23,0,12,0,12,0,12,0,12,12,23,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,250,86,193,77,53,56,29,46,14,24,10,18,140,65,57,55,35,43,27,41,0,12,0,12,27,41,8,12,22,32,4,11,0,12,0,12,4,11,18,29,,,,,,,,,,,353,89,53,53,12,23,12,23,0,12,0,12,12,23,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,41,48,13,21,0,12,0,12,13,21,0,12,28,43,0,12,0,12,28,43,0,12,300,99,250,86,193,77,0,12,35,40,115,70,43,39,57,55,35,43,0,12,0,12,27,41,8,12,22,32,0,12,0,12,4,11,18,29,50,55,0,12,0,12,0,12,0,12,0,12,50,55,0,12,0,12,50,55,0,12,1015,308,117,85,52,61,26,50,26,50,0,12,26,41,26,41,0,12,26,41,0,12,0,12,0,12,65,74,41,48,28,43,13,21,24,39,898,325,848,322,654,287,609,269,45,66,194,201,144,188,144,188,0,12,50,70,50,70,0,12,50,55,50,55,50,55,0,12,0,12
450399602002,1260,286,243,176,37,44,171,184,24,41,29,25,56,63,700,217,385,95,45,38,22,26,0,12,0,12,0,12,0,12,22,26,23,28,7,11,0,12,0,12,0,12,0,12,7,11,16,26,16,26,0,12,16,26,0,12,0,12,340,91,228,76,22,25,0,12,0,12,22,25,206,74,112,79,38,36,14,23,3,14,0,12,11,19,24,28,74,72,47,65,44,64,0,12,3,7,27,28,,,,,,,,,,,543,110,138,81,45,38,22,26,0,12,15,23,0,12,7,12,23,28,7,11,0,12,0,12,7,11,0,12,16,26,0,12,16,26,0,12,0,12,93,75,49,51,0,12,32,45,17,22,0,12,44,50,0,12,34,46,4,8,6,10,405,96,340,91,228,76,0,12,25,30,138,61,65,35,112,79,38,36,0,12,14,23,10,15,14,23,74,72,44,64,0,12,11,15,19,31,65,41,58,40,0,12,13,19,24,30,21,22,7,11,0,12,0,12,0,12,7,11,1260,286,280,183,161,164,39,46,39,46,0,12,122,158,24,39,24,39,0,12,98,153,80,126,18,28,119,102,93,75,59,54,34,46,26,38,980,246,915,250,578,206,578,206,0,12,337,209,139,139,139,139,0,12,198,179,198,179,0,12,65,41,65,41,65,41,0,12,0,12
450399602003,1409,346,76,80,120,98,40,72,130,135,170,229,0,12,873,296,381,104,44,41,18,30,0,12,0,12,0,12,0,12,18,30,26,29,15,23,0,12,0,12,0,12,0,12,15,23,11,14,0,12,0,12,0,12,0,12,11,14,337,106,301,102,100,55,45,52,13,21,42,36,201,81,36,31,7,13,0,12,0,12,0,12,0,12,7,13,29,31,19,26,0,12,10,19,9,16,10,16,,,,,,,,,,,549,121,126,83,44,41,18,30,0,12,0,12,18,30,0,12,26,29,15,23,0,12,15,23,0,12,0,12,11,14,0,12,0,12,11,14,0,12,82,77,82,77,0,12,0,12,76,80,6,10,0,12,0,12,0,12,0,12,0,12,423,118,337,106,301,102,0,12,90,56,147,81,64,33,36,31,7,13,0,12,0,12,0,12,7,13,29,31,0,12,19,26,0,12,10,16,86,62,52,56,0,12,32,51,20,24,0,12,34,30,0,12,0,12,13,24,21,20,1409,346,196,115,114,97,32,55,32,55,0,12,82,83,39,59,39,59,0,12,43,50,43,50,0,12,82,77,82,77,82,77,0,12,0,12,1213,367,1127,367,950,345,950,345,0,12,177,143,53,89,53,89,0,12,124,129,111,114,13,22,86,62,86,62,86,62,0,12,0,12
450399603001,1046,230,0,12,0,12,17,27,65,66,13,21,28,34,923,238,410,99,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,410,99,386,98,18,30,0,12,0,12,18,30,368,102,24,27,24,27,13,20,0,12,0,12,13,20,11,18,0,12,0,12,0,12,0,12,0,12,0,12,,,,,,,,,,,535,109,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,535,109,410,99,386,98,0,12,65,54,150,70,171,66,24,27,24,27,0,12,13,20,0,12,11,18,0,12,0,12,0,12,0,12,0,12,125,68,64,39,0,12,0,12,36,32,28,24,61,53,0,12,0,12,48,48,13,21,1046,230,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,1046,230,921,234,817,221,817,221,0,12,104,117,104,117,104,117,0,12,0,12,0,12,0,12,125,68,125,68,125,68,0,12,0,12
450399603002,890,370,167,171,69,87,53,59,29,30,316,321,0,12,256,159,175,98,42,50,0,12,0,12,0,12,0,12,0,12,0,12,42,50,26,41,26,41,0,12,0,12,26,41,0,12,16,26,0,12,0,12,0,12,0,12,16,26,133,79,115,67,59,51,9,14,0,12,50,49,56,37,18,34,1,3,1,3,0,12,0,12,1,3,0,12,17,34,17,34,0,12,0,12,17,34,0,12,,,,,,,,,,,384,128,124,96,42,50,0,12,0,12,0,12,0,12,0,12,42,50,26,41,0,12,26,41,0,12,0,12,16,26,0,12,0,12,16,26,0,12,82,90,15,24,0,12,0,12,15,24,0,12,67,87,0,12,60,87,7,12,0,12,260,98,133,79,115,67,0,12,48,50,40,37,27,32,18,34,1,3,0,12,0,12,1,3,0,12,17,34,0,12,0,12,0,12,17,34,127,85,12,22,0,12,0,12,0,12,12,22,115,78,0,12,0,12,47,50,68,67,890,370,236,165,142,168,0,12,0,12,0,12,142,168,60,93,60,93,0,12,82,134,82,134,0,12,94,90,82,90,82,90,0,12,12,6,654,351,521,361,362,214,362,214,0,12,159,268,7,14,7,14,0,12,152,268,152,268,0,12,133,84,127,85,127,85,0,12,6,9
450399603003,1387,333,267,218,90,133,185,201,16,25,154,99,14,23,661,342,390,126,130,98,41,57,0,12,0,12,0,12,0,12,41,57,89,76,37,57,37,57,0,12,0,12,37,57,0,12,52,57,24,40,0,12,0,12,24,40,28,41,260,102,192,81,95,52,9,18,0,12,86,51,97,65,68,58,0,12,0,12,0,12,0,12,0,12,0,12,68,58,58,54,0,12,34,58,24,40,10,18,,,,,,,,,,,549,143,141,98,130,98,41,57,0,12,41,57,0,12,0,12,89,76,37,57,0,12,0,12,37,57,0,12,52,57,0,12,0,12,24,40,28,41,11,17,11,17,0,12,0,12,11,17,0,12,0,12,0,12,0,12,0,12,0,12,408,133,260,102,192,81,0,12,9,18,135,67,48,46,68,58,0,12,0,12,0,12,0,12,0,12,68,58,0,12,34,58,24,40,10,18,148,89,96,89,0,12,69,85,27,23,0,12,52,42,0,12,0,12,20,29,32,26,1387,333,357,257,346,256,84,111,84,111,0,12,262,220,98,140,98,140,0,12,164,187,164,187,0,12,11,17,11,17,11,17,0,12,0,12,1030,342,882,334,600,270,600,270,0,12,282,209,0,12,0,12,0,12,282,209,282,209,0,12,148,89,148,89,148,89,0,12,0,12
450399603004,2132,489,407,273,108,108,18,26,292,245,356,318,120,135,831,274,611,177,113,94,41,54,41,54,0,12,0,12,41,54,0,12,72,73,7,12,7,12,0,12,0,12,7,12,0,12,65,71,7,11,2,4,0,12,5,10,58,71,498,153,380,139,124,90,4,5,0,12,120,89,256,112,118,84,12,19,12,19,0,12,0,12,12,19,0,12,106,82,30,35,0,12,7,12,23,33,76,75,,,,,,,,,,,890,177,182,105,113,94,41,54,0,12,0,12,41,54,0,12,72,73,7,12,0,12,7,12,0,12,0,12,65,71,2,4,0,12,63,71,0,12,69,59,35,32,0,12,0,12,7,13,28,27,34,45,0,12,0,12,34,45,0,12,708,182,498,153,380,139,0,12,57,54,210,137,113,64,118,84,12,19,0,12,9,18,3,6,0,12,106,82,0,12,9,12,46,51,51,64,210,130,160,130,0,12,1,3,146,127,13,24,50,43,0,12,0,12,18,20,32,36,2132,489,515,288,422,299,160,204,160,204,0,12,262,207,75,102,46,87,29,49,187,170,187,170,0,12,93,67,69,59,68,58,1,4,24,41,1617,431,1406,440,1037,414,1037,414,0,12,369,238,45,61,45,61,0,12,324,229,321,228,3,7,211,130,210,130,173,125,37,61,1,3
450399604001,933,307,159,189,21,43,117,156,166,125,78,114,52,63,340,243,167,78,26,30,12,19,12,19,0,12,0,12,12,19,0,12,14,24,0,12,0,12,0,12,0,12,0,12,0,12,14,24,14,24,0,12,0,12,14,24,0,12,141,74,104,69,55,53,23,37,0,12,32,40,49,46,37,37,9,15,0,12,0,12,0,12,0,12,9,15,28,32,0,12,0,12,0,12,0,12,28,32,,,,,,,,,,,345,99,31,31,26,30,12,19,0,12,12,19,0,12,0,12,14,24,0,12,0,12,0,12,0,12,0,12,14,24,0,12,0,12,14,24,0,12,5,11,0,12,0,12,0,12,0,12,0,12,5,11,0,12,0,12,0,12,5,11,314,99,141,74,104,69,0,12,55,53,31,40,18,21,37,37,9,15,0,12,0,12,0,12,9,15,28,32,0,12,0,12,17,27,11,19,173,93,123,87,0,12,20,30,53,63,50,51,50,43,0,12,0,12,36,41,14,25,933,307,180,192,154,190,120,183,120,183,0,12,34,58,0,12,0,12,0,12,34,58,34,58,0,12,26,43,5,11,5,11,0,12,21,43,753,274,560,294,401,261,401,261,0,12,159,163,28,42,28,42,0,12,131,157,131,157,0,12,193,100,173,93,173,93,0,12,20,43
